avg_anonym,avg_real
104.53,97.11
77.58,72.08
100.48,93.35
103.79,96.43
87.32,81.13
75.88,70.5
73.82,68.58
87.99,81.75
94.27,87.58
103.11,95.8
77.95,72.43
75.92,70.54
72.57,67.42
85.6,79.53
91.82,85.3
104.79,97.36
100.07,92.97
81.92,76.11
86.7,80.55
88.27,82.01
118.27,109.88
97.52,90.6
75.78,70.4
91.29,84.81
80.15,74.46
80.05,74.38
84.37,78.38
78.48,72.91
72.64,67.49
88.85,82.54
80.71,74.99
86.92,80.75
79.27,73.65
96.31,89.48
74.7,69.4
102.21,94.96
97.92,90.97
73.28,68.08
72.73,67.57
73.49,68.27
76.36,70.94
73.39,68.18
95.75,88.96
70.09,65.12
109.94,102.14
87.14,80.96
72.22,67.1
105.97,98.46
84.68,78.67
85.0,78.97
76.35,70.93
99.31,92.27
84.2,78.23
67.66,62.86
122.11,113.45
103.14,95.82
92.25,85.71
90.4,83.99
71.99,66.89
77.44,71.95
102.47,95.2
99.18,92.14
74.82,69.51
87.05,80.88
86.16,80.05
97.2,90.3
76.45,71.02
89.52,83.17
79.28,73.66
109.54,101.77
87.66,81.44
90.66,84.23
74.28,69.01
98.68,91.68
80.53,74.82
82.88,77.0
91.85,85.33
94.56,87.85
97.46,90.55
83.13,77.24
90.81,84.37
79.38,73.75
83.48,77.56
80.19,74.5
77.1,71.63
77.69,72.18
90.13,83.74
82.84,76.96
79.87,74.2
71.63,66.55
68.98,64.09
72.83,67.67
71.56,66.49
90.8,84.36
102.99,95.69
101.4,94.21
102.93,95.63
77.0,71.54
86.85,80.69
107.26,99.65
98.12,91.16
92.36,85.81
98.82,91.81
91.13,84.66
74.58,69.29
75.79,70.42
100.11,93.01
71.09,66.05
75.68,70.31
94.81,88.08
69.57,64.63
94.6,87.89
68.3,63.45
75.68,70.31
97.34,90.43
98.54,91.55
102.16,94.91
83.94,77.98
104.17,96.79
117.0,108.7
96.56,89.71
84.0,78.04
95.42,88.65
72.98,67.81
78.14,72.6
76.23,70.82
72.31,67.18
85.3,79.25
95.12,88.37
73.73,68.5
98.08,91.13
89.79,83.42
71.69,66.61
85.04,79.01
80.83,75.1
88.09,81.85
78.53,72.96
92.3,85.76
108.13,100.46
73.68,68.45
77.36,71.87
83.43,77.51
75.85,70.47
91.37,84.89
110.86,102.99
78.52,72.96
81.93,76.12
81.86,76.05
106.69,99.13
74.66,69.37
87.12,80.94
99.25,92.21
106.75,99.18
85.97,79.87
74.45,69.17
90.94,84.49
91.57,85.08
75.96,70.57
134.87,125.31
91.16,84.7
107.25,99.64
74.21,68.95
94.11,87.43
89.34,83.0
80.2,74.51
86.67,80.53
88.2,81.95
108.49,100.8
100.69,93.54
96.66,89.8
78.18,72.63
87.61,81.39
79.31,73.68
83.74,77.8
86.25,80.13
81.01,75.26
105.59,98.1
85.82,79.74
92.14,85.61
