max_anonym,max_real
121.01,117.26
88.12,85.39
118.46,114.79
121.94,118.17
106.09,102.81
94.87,91.93
89.83,87.05
106.36,103.06
111.32,107.88
124.54,120.69
92.49,89.63
89.23,86.47
86.8,84.12
98.97,95.9
105.91,102.64
124.38,120.53
120.64,116.91
92.16,89.31
96.67,93.68
103.93,100.71
173.77,168.39
116.64,113.03
91.37,88.54
107.04,103.72
93.1,90.22
93.86,90.95
100.76,97.64
88.47,85.73
85.79,83.14
107.16,103.85
96.34,93.36
104.23,101.0
91.55,88.72
114.05,110.52
86.34,83.67
122.46,118.67
112.61,109.12
86.15,83.48
86.08,83.42
82.69,80.13
90.21,87.42
83.99,81.39
109.2,105.82
81.04,78.53
157.4,152.53
102.02,98.86
85.56,82.91
124.89,121.03
100.57,97.46
97.07,94.06
93.07,90.19
112.86,109.36
96.3,93.32
77.73,75.33
181.36,175.75
123.39,119.57
111.41,107.96
100.95,97.82
86.24,83.57
93.07,90.19
119.86,116.15
113.26,109.76
89.33,86.57
105.43,102.17
101.12,97.99
115.76,112.17
93.25,90.36
105.75,102.48
95.89,92.92
154.49,149.71
103.02,99.83
125.7,121.81
87.31,84.61
119.1,115.41
92.57,89.7
98.93,95.87
107.04,103.73
113.37,109.86
112.51,109.03
100.54,97.43
111.02,107.59
94.24,91.32
101.76,98.6
97.59,94.56
91.79,88.95
92.51,89.65
107.71,104.38
98.12,95.09
95.31,92.36
86.63,83.95
76.74,74.36
89.06,86.3
85.19,82.56
108.1,104.75
124.87,121.0
119.78,116.08
122.44,118.65
89.92,87.14
101.69,98.54
129.09,125.1
115.9,112.31
109.19,105.81
115.29,111.72
107.28,103.95
87.67,84.96
91.18,88.35
116.18,112.58
85.09,82.45
85.62,82.97
108.36,105.01
84.34,81.73
132.26,128.16
80.13,77.65
86.25,83.58
138.76,134.46
118.14,114.49
113.96,110.43
99.51,96.43
125.76,121.87
166.91,161.74
114.25,110.72
94.76,91.83
106.08,102.8
92.38,89.52
89.61,86.83
92.59,89.72
83.35,80.77
103.02,99.83
109.9,106.5
84.36,81.75
117.25,113.62
108.44,105.08
85.68,83.03
101.55,98.4
95.23,92.28
103.96,100.75
94.82,91.89
102.8,99.61
128.64,124.66
86.67,83.98
98.74,95.68
94.09,91.17
85.35,82.71
102.99,99.8
155.19,150.39
96.21,93.23
95.17,92.22
97.01,94.0
130.4,126.36
88.14,85.41
99.2,96.13
117.81,114.16
165.02,159.91
102.45,99.28
90.44,87.64
106.73,103.42
103.07,99.88
92.36,89.5
192.84,186.87
103.06,99.87
128.14,124.17
85.92,83.26
106.93,103.62
104.71,101.47
90.89,88.08
101.21,98.08
98.17,95.14
129.62,125.61
118.23,114.57
108.17,104.82
92.47,89.61
98.73,95.67
93.88,90.97
95.32,92.37
101.34,98.2
97.48,94.46
124.55,120.7
104.35,101.12
110.92,107.48
81.19,78.67
96.98,93.98
107.95,104.61
78.35,75.92
113.36,109.86
126.67,122.75
102.06,98.9
80.97,78.46
204.46,198.13
82.62,80.06
120.18,116.46
109.71,106.31
100.8,97.68
103.1,99.91
101.38,98.24
98.93,95.87
81.11,78.6
117.16,113.53
120.07,116.36
98.83,95.77
112.58,109.09
98.11,95.08
89.75,86.97
95.86,92.89
107.52,104.19
106.63,103.33
114.82,111.27
86.6,83.92
94.82,91.89
193.95,187.95
110.88,107.45
117.13,113.5
88.55,85.8
126.83,122.91
175.32,169.9
124.45,120.59
109.3,105.92
100.58,97.47
104.76,101.52
110.88,107.45
226.37,219.36
107.63,104.29
88.11,85.38
112.77,109.28
87.83,85.11
114.26,110.72
99.8,96.71
91.96,89.11
108.01,104.66
117.88,114.23
97.85,94.82
107.88,104.54
122.05,118.27
90.46,87.66
115.47,111.89
88.92,86.17
90.3,87.5
108.67,105.31
104.28,101.05
81.56,79.03
94.28,91.36
113.85,110.33
84.9,82.27
96.28,93.3
107.71,104.37
97.05,94.04
109.4,106.01
118.35,114.68
111.44,107.99
