max_anonym,max_real
89.63,83.27
67.17,62.4
95.81,89.01
88.01,81.76
97.95,91.01
71.08,66.04
90.35,83.94
88.75,82.45
69.66,64.72
67.0,62.25
98.61,91.61
78.02,72.49
66.24,61.54
74.12,68.87
94.05,87.38
94.97,88.23
75.14,69.81
96.35,89.51
90.81,84.37
88.61,82.33
75.14,69.81
87.19,81.01
97.75,90.82
67.48,62.7
68.7,63.83
88.29,82.03
73.96,68.72
70.31,65.32
97.94,90.99
70.59,65.59
72.49,67.35
85.1,79.07
98.18,91.22
90.79,84.35
82.61,76.75
99.04,92.02
77.35,71.87
74.41,69.13
79.04,73.43
83.35,77.44
85.43,79.37
98.82,91.81
85.41,79.35
71.04,66.0
69.23,64.32
85.73,79.65
75.37,70.02
93.38,86.76
99.74,92.66
93.49,86.86
84.6,78.6
88.57,82.29
95.81,89.01
95.47,88.7
93.6,86.96
91.11,84.65
90.45,84.03
82.64,76.78
70.63,65.62
80.75,75.02
88.44,82.17
88.68,82.39
87.05,80.87
91.33,84.85
79.18,73.56
75.55,70.19
97.75,90.81
85.53,79.47
75.53,70.17
68.74,63.86
78.14,72.6
66.58,61.86
88.19,81.93
71.16,66.11
85.86,79.77
71.57,66.5
72.53,67.39
70.13,65.16
87.0,80.83
84.42,78.43
99.18,92.15
72.54,67.39
98.01,91.06
79.19,73.58
70.56,65.55
83.16,77.26
69.9,64.95
82.25,76.42
100.97,93.81
87.79,81.56
96.23,89.41
102.03,94.79
96.67,89.81
68.24,63.4
78.46,72.9
67.84,63.03
83.37,77.46
97.46,90.55
67.6,62.81
100.03,92.94
88.05,81.8
80.03,74.35
75.0,69.68
80.26,74.56
88.22,81.96
80.22,74.53
75.69,70.32
83.17,77.27
98.3,91.33
79.72,74.07
70.99,65.95
68.6,63.74
92.99,86.39
93.04,86.44
82.49,76.63
94.79,88.06
95.2,88.44
77.33,71.84
71.15,66.1
88.47,82.2
98.58,91.59
69.96,64.99
95.81,89.01
89.42,83.08
84.56,78.56
81.92,76.11
80.49,74.78
94.87,88.14
91.31,84.83
94.03,87.36
91.54,85.04
91.8,85.29
93.6,86.96
73.85,68.61
94.6,87.89
97.37,90.46
90.62,84.19
94.85,88.12
68.59,63.73
88.5,82.22
98.16,91.2
75.44,70.09
92.27,85.72
85.04,79.01
69.52,64.59
74.25,68.99
76.24,70.83
95.41,88.64
73.08,67.9
80.98,75.24
74.4,69.12
92.1,85.57
93.12,86.51
71.92,66.82
71.74,66.65
93.74,87.1
87.48,81.27
93.26,86.65
97.98,91.03
98.58,91.59
96.39,89.55
98.48,91.49
75.88,70.5
74.1,68.84
74.94,69.63
76.04,70.65
82.66,76.8
86.12,80.01
90.95,84.5
70.88,65.85
70.07,65.1
97.15,90.26
97.14,90.25
98.96,91.94
99.92,92.83
93.65,87.01
74.9,69.59
88.81,82.51
93.32,86.71
69.9,64.94
80.4,74.7
86.14,80.03
98.82,91.81
75.85,70.47
70.2,65.22
78.08,72.55
75.59,70.23
100.03,92.94
72.13,67.01
66.88,62.14
100.53,93.4
83.68,77.74
72.44,67.3
68.31,63.47
71.46,66.39
83.62,77.69
98.22,91.25
90.44,84.03
85.08,79.05
77.24,71.76
86.45,80.31
81.37,75.6
83.53,77.61
78.46,72.89
71.69,66.61
76.97,71.51
80.41,74.71
91.92,85.4
80.48,74.77
86.78,80.62
93.29,86.67
100.61,93.47
72.59,67.44
87.37,81.17
89.99,83.61
81.99,76.17
85.42,79.36
70.4,65.4
96.7,89.84
93.31,86.69
70.56,65.55
78.65,73.07
69.83,64.87
74.85,69.54
97.49,90.58
93.13,86.53
87.42,81.22
76.1,70.7
94.07,87.4
74.6,69.31
75.11,69.78
88.83,82.53
97.98,91.03
70.16,65.19
