max_anonym,max_real
134.225,128.939
128.891,126.116
99.9649,107.837
92.0684,89.8228
82.6596,88.2173
99.4905,103.744
103.535,107.961
96.7055,98.8809
113.004,122.697
110.264,105.013
108.95,118.424
111.713,123.304
85.0381,89.9874
103.676,108.221
98.3597,95.0335
121.937,115.91
95.6418,98.4983
106.296,99.5284
97.3703,95.2743
97.7337,105.09
118.919,122.345
98.3333,92.1587
99.5395,102.618
114.043,117.935
93.3883,86.8728
111.972,116.759
94.7834,104.965
81.6207,86.923
106.264,117.031
102.939,107.452
96.0305,90.0849
85.7705,95.3006
88.2691,91.093
117.948,114.624
124.631,113.404
106.299,111.191
122.949,127.54
95.7039,88.6147
77.3225,84.5979
122.225,111.519
114.317,109.499
111.173,115.325
119.98,128.321
91.2287,93.9533
129.551,123.147
133.973,125.326
98.7611,94.5082
85.5099,89.352
111.762,118.517
118.003,110.18
108.525,118.477
101.518,96.5002
128.778,121.603
117.274,111.266
108.312,113.179
107.228,102.611
119.123,127.268
104.532,95.3763
95.5869,91.7341
123.872,115.337
119.899,126.609
82.3953,85.65
84.4386,87.774
90.2845,92.2211
101.719,108.79
121.665,113.599
114.46,108.596
97.2792,90.4923
84.2486,87.9422
114.909,104.653
107.78,117.921
132.99,122.911
97.225,101.276
99.4029,108.282
113.065,119.141
121.504,113.661
115.1,124.702
106.755,117.313
99.4825,107.201
97.2718,88.8327
111.643,102.992
104.494,109.418
88.978,94.1566
117.504,107.901
97.2325,105.344
88.2571,93.295
96.8136,102.34
106.498,110.132
101.167,105.054
101.51,93.9037
118.63,112.339
117.99,121.389
117.378,124.737
95.1617,105.151
78.6093,86.7652
109.292,106.522
94.7908,98.5351
108.665,115.601
125.803,121.431
110.798,117.996
99.9429,105.425
114.844,117.307
117.427,110.78
111.254,104.957
98.266,93.1431
109.875,116.516
93.8657,103.719
90.3269,96.5031
122.423,119.788
119.625,115.357
111.297,101.271
113.722,122.943
96.1853,102.543
112.266,107.741
96.4866,89.3394
83.7516,89.1923
115.949,112.463
108.507,112.326
92.8505,101.587
119.455,115.527
119.516,114.26
90.1908,92.8844
122.043,128.737
136.194,125.524
100.944,108.425
110.32,117.112
101.86,107.788
112.671,108.861
122.581,113.291
94.1946,87.7862
90.6662,97.3858
106.356,101.971
109.887,106.894
120.292,109.356
132.878,128.509
105.011,101.167
101.386,107.4
101.776,99.2935
106.159,97.3935
94.3332,86.7831
91.6652,100.4
99.5231,97.0011
121.436,115.105
108.786,102.339
89.5256,93.2558
108.907,103.721
101.189,111.319
102.937,100.721
103.413,106.283
116.552,109.131
114.399,125.438
90.7702,95.4471
106.542,112.982
97.1493,93.5027
133.078,124.256
123.615,113.097
115.767,125.289
112.64,120.085
80.2781,88.1209
123.775,113.451
108.306,117.341
118.098,109.047
90.2878,87.6581
130.605,122.175
101.771,99.3859
83.6197,88.5802
104.986,97.4803
85.8023,88.0024
117.117,120.739
114.637,107.843
118.635,115.741
85.9648,95.1991
104.548,112.659
98.6495,105.17
103.56,97.6061
103.779,97.8122
92.1149,98.4134
105.216,100.11
113.174,121.824
90.1587,92.8514
105.291,110.833
113.789,105.165
95.5563,100.059
115.471,106.327
108.509,117.434
90.6359,94.0206
131.314,125.9
97.1915,90.4107
95.7861,92.3685
88.2134,91.9848
90.5974,92.7302
92.3299,94.2142
101.486,94.4057
87.2731,91.0043
141.485,128.857
125.691,122.745
93.1036,86.1273
134.316,125.764
83.1518,85.1965
99.3727,93.3954
106.138,111.372
99.9914,108.333
81.8497,88.6779
113.459,107.544
101.981,96.7564
112.636,116.0
99.2861,91.5923
96.0971,99.997
119.252,109.205
94.4509,96.7735
104.444,115.663
104.426,101.286
134.67,125.274
138.825,126.897
95.1864,87.167
105.176,110.595
