max_anonym,max_real
115.388,110.843
112.834,110.405
96.7056,104.321
137.79,134.429
106.814,113.996
106.73,111.293
99.4435,103.695
118.494,121.159
128.273,139.276
141.109,134.39
140.26,152.457
133.062,146.867
114.972,121.664
141.665,147.876
134.783,130.225
131.542,125.04
123.853,127.552
147.594,138.197
122.033,119.406
122.262,131.464
132.215,136.024
168.479,157.9
144.081,148.537
107.703,111.379
124.889,116.176
147.652,153.965
112.803,124.92
142.846,152.126
128.99,142.06
141.068,147.253
145.434,136.43
130.802,145.335
150.243,155.05
134.808,131.009
154.455,140.541
137.547,143.878
139.176,144.373
124.116,114.922
97.4891,106.662
143.093,130.559
131.372,125.835
147.82,153.34
143.117,153.066
126.503,130.281
119.897,113.971
162.15,151.684
116.803,111.773
113.605,118.709
145.841,154.656
115.509,107.852
101.227,110.51
157.825,150.024
138.854,131.118
125.344,118.922
108.83,113.72
161.664,154.702
111.524,119.15
147.759,134.817
140.314,134.658
160.051,149.023
125.861,132.905
121.127,125.912
143.947,149.633
128.855,131.619
149.24,159.615
142.935,133.459
133.748,126.896
147.264,136.99
103.396,107.929
173.562,158.071
143.359,156.848
167.133,154.467
151.059,157.353
131.963,143.75
109.343,115.219
135.584,126.833
130.001,140.846
122.852,135.002
131.807,142.033
148.675,135.776
140.73,129.825
103.646,108.53
107.987,114.272
168.368,154.608
98.7305,106.967
104.272,110.224
123.751,130.815
112.872,116.724
144.822,150.386
143.971,133.183
134.677,127.535
122.183,125.703
136.429,144.983
140.394,155.132
116.716,128.826
164.249,160.087
98.8407,102.745
135.885,144.559
153.21,147.886
99.2025,105.647
112.081,118.229
124.26,126.925
162.347,153.158
122.528,115.592
134.272,127.272
128.765,136.548
124.326,137.377
107.359,114.7
147.676,144.497
157.924,152.289
125.548,114.238
127.425,137.757
135.903,144.886
164.641,158.005
147.203,136.299
120.515,128.344
147.936,143.488
131.532,136.161
118.932,130.123
134.465,130.044
156.21,149.34
144.433,148.747
122.379,129.092
121.111,111.623
101.479,109.0
101.031,107.252
128.252,135.716
151.807,146.673
115.125,106.4
160.611,149.684
133.156,143.025
120.26,115.302
138.739,134.96
135.255,122.959
147.331,142.486
124.895,120.323
148.546,157.358
109.911,107.23
149.162,136.846
150.92,138.841
112.81,123.56
107.229,104.512
105.678,100.169
128.467,120.853
106.412,110.846
136.44,129.943
123.531,135.898
107.127,104.821
119.656,122.976
162.692,152.333
101.672,111.483
150.336,158.082
130.579,138.472
160.846,154.808
134.564,125.643
146.495,134.03
118.418,128.158
106.268,113.292
