med_anonym,med_real
39.86,38.62
29.41,28.5
42.54,41.22
47.18,45.72
46.16,44.73
31.27,30.3
40.21,38.96
41.04,39.77
34.23,33.17
31.93,30.94
47.24,45.77
38.4,37.21
31.06,30.1
34.49,33.42
45.42,44.02
44.9,43.5
35.03,33.95
43.91,42.55
45.79,44.37
40.42,39.17
34.5,33.44
40.72,39.46
46.86,45.41
32.58,31.57
34.93,33.85
40.94,39.68
34.31,33.25
34.78,33.7
47.56,46.1
32.44,31.44
34.18,33.12
38.71,37.52
46.52,45.08
42.02,40.72
40.57,39.32
48.45,46.95
37.43,36.27
41.0,39.73
41.38,40.1
41.42,40.14
38.45,37.26
44.78,43.4
42.05,40.74
31.8,30.81
31.96,30.97
38.94,37.73
36.13,35.01
43.84,42.48
48.32,46.82
42.91,41.58
39.33,38.12
40.05,38.81
45.24,43.83
46.11,44.68
42.82,41.5
44.0,42.64
41.72,40.42
40.52,39.27
35.23,34.14
36.29,35.17
41.26,39.98
42.07,40.76
34.98,33.9
45.92,44.5
37.11,35.96
38.09,36.91
43.75,42.4
41.04,39.78
34.79,33.71
31.1,30.14
35.13,34.04
31.47,30.5
39.98,38.74
31.72,30.74
43.86,42.5
33.35,32.32
36.96,35.82
34.78,33.71
41.9,40.6
40.16,38.92
45.83,44.41
35.3,34.2
43.8,42.46
36.53,35.39
32.56,31.56
40.99,39.72
31.96,30.97
42.73,41.41
46.62,45.18
42.24,40.94
46.38,44.95
50.7,49.13
46.94,45.48
34.66,33.59
38.3,37.11
32.43,31.43
39.26,38.05
46.55,45.11
34.76,33.68
46.54,45.1
41.89,40.59
37.98,36.81
36.37,35.24
42.13,40.82
45.97,44.56
38.55,37.36
39.19,37.97
40.56,39.31
49.5,47.96
36.17,35.05
33.04,32.02
33.62,32.58
48.58,47.08
45.56,44.15
39.08,37.87
43.93,42.57
43.23,41.89
37.79,36.62
36.34,35.22
42.0,40.7
44.38,43.0
34.59,33.52
44.85,43.47
42.05,40.75
41.4,40.12
39.64,38.42
36.86,35.71
45.39,43.98
43.78,42.43
48.12,46.63
43.35,42.01
47.2,45.74
43.6,42.25
38.32,37.13
45.01,43.62
48.79,47.28
42.94,41.61
46.58,45.14
30.44,29.5
39.84,38.61
42.86,41.53
39.98,38.74
42.75,41.43
42.36,41.05
35.66,34.56
37.08,35.93
36.25,35.13
45.32,43.92
34.14,33.08
39.04,37.84
37.27,36.12
43.56,42.2
44.84,43.45
35.62,34.51
31.98,30.98
43.84,42.48
40.11,38.87
42.43,41.12
47.42,45.94
46.03,44.6
44.39,43.01
46.64,45.2
37.5,36.34
35.47,34.36
34.7,33.63
39.04,37.84
39.27,38.05
41.16,39.88
43.48,42.13
39.5,38.27
30.36,29.42
47.74,46.26
46.03,44.6
44.79,43.4
48.09,46.6
44.37,43.0
36.18,35.06
39.24,38.02
45.8,44.39
31.01,30.05
39.13,37.92
40.02,38.78
46.84,45.39
35.15,34.06
33.29,32.26
37.75,36.58
33.9,32.85
44.55,43.17
33.01,31.98
33.92,32.86
48.87,47.36
40.66,39.4
30.7,29.76
30.88,29.92
34.02,32.96
40.45,39.19
46.32,44.89
42.62,41.3
40.85,39.58
33.02,31.99
40.58,39.32
39.27,38.06
37.86,36.68
37.02,35.88
34.23,33.17
37.98,36.81
37.99,36.81
43.13,41.79
38.14,36.96
40.62,39.36
45.06,43.66
45.84,44.42
36.08,34.96
40.79,39.52
46.35,44.92
40.4,39.16
40.69,39.43
35.1,34.0
47.62,46.14
44.33,42.96
33.34,32.3
37.41,36.26
34.82,33.74
37.66,36.49
44.2,42.83
46.48,45.04
41.26,39.98
37.29,36.14
46.04,44.62
