med_anonym,med_real
80.72225,78.2192
84.8558,87.57045
61.3202,66.2205
58.772,61.0936
62.06695,58.44345
56.09085,57.706649999999996
61.3148,65.09
63.307100000000005,58.026650000000004
82.25909999999999,78.86775
56.1987,59.3439
82.4045,76.2299
73.2436,69.6894
56.57,54.342
71.9844,67.8458
63.107150000000004,60.15935
69.89415,67.14134999999999
67.51765,63.9978
57.00275,60.5768
59.2085,54.4196
69.8738,63.5794
60.6755,61.977
54.8296,56.7594
55.82995,58.03530000000001
65.9326,67.6232
50.8077,52.5416
78.8019,75.5531
58.3891,61.012600000000006
49.643550000000005,52.532849999999996
66.58515,70.2375
76.2152,71.6982
45.27065,49.9125
59.8393,57.7599
55.2574,57.4401
69.9373,72.1003
65.5141,68.2439
67.3347,73.9129
68.2062,75.1998
51.6653,55.9754
60.9828,58.1342
71.9197,79.0326
62.2155,64.1397
70.34905,74.28620000000001
83.036,80.3056
63.672,60.5823
62.4186,68.6673
69.0192,75.5961
66.4082,62.8271
53.7885,49.302
68.595,72.434
64.863,70.5033
74.09615,71.17785
60.9022,58.3914
85.0021,78.1988
77.1973,72.0796
67.3726,63.02395
60.7393,62.4248
77.81005,79.5604
58.6276,61.5836
56.0575,57.3185
57.5855,63.2113
76.7193,74.19665
48.580799999999996,52.29365
66.82894999999999,62.1087
56.0962,54.3042
63.9399,70.5738
75.4439,70.6404
61.4045,66.8894
59.71065,56.2247
57.1106,52.2991
57.9051,53.1239
70.8804,74.4542
69.7216,66.0242
57.1676,59.1797
67.7636,65.6624
79.8263,73.43725
71.82875,69.19915
77.7832,75.5911
80.79705000000001,74.95085
59.176,61.5135
46.9546,51.8835
59.8129,63.4283
67.0299,71.0062
54.78475,57.486599999999996
73.1397,71.14755
60.832750000000004,63.03915
58.7197,57.2875
58.7118,61.6073
70.3669,68.7177
60.4506,63.6993
56.741299999999995,53.029250000000005
59.2637,65.3403
76.9417,80.4829
69.4265,74.1736
61.46265,67.46725
59.733000000000004,54.901650000000004
66.1469,64.7864
