med_anonym,med_real
72.93,66.91
87.43,82.02
58.54,62.68
82.15,86.93
67.28,71.72
70.18,67.8
59.3,64.11
68.34,74.61
88.09,92.44
91.64,86.78
94.61,101.74
91.09,97.52
74.43,71.57
89.73,92.13
77.58,84.42
90.91,85.84
79.67,86.13
84.24,87.75
71.2,78.5
86.3,94.42
76.77,79.14
103.56,99.86
87.38,85.09
68.53,75.73
73.49,75.92
108.77,105.3
85.08,83.24
83.28,92.13
98.48,101.84
90.82,93.34
88.64,83.23
102.36,99.0
92.56,95.52
76.43,80.62
89.4,98.24
90.45,88.07
97.34,94.05
80.35,77.86
67.88,74.76
88.41,91.62
85.02,87.2
106.45,102.85
95.12,98.36
83.86,89.69
71.57,68.42
98.6,100.61
85.56,80.04
84.84,80.72
97.71,92.79
75.45,68.65
68.7,76.0
95.81,92.48
82.51,89.39
82.08,77.95
68.59,67.24
116.29,106.98
63.53,68.75
93.95,90.51
83.11,85.95
105.55,98.28
93.0,86.43
105.98,96.97
107.74,104.7
89.0,81.73
102.29,105.78
79.51,84.59
99.07,92.68
80.04,87.09
85.63,78.28
92.64,98.24
106.48,98.23
84.22,90.66
105.26,97.92
94.71,91.16
77.72,73.6
73.91,79.9
109.81,104.78
74.46,82.64
97.94,91.53
95.22,91.65
88.44,83.44
64.08,66.61
71.06,76.83
93.93,102.77
71.84,75.94
71.68,69.46
92.82,89.77
66.85,72.98
109.11,100.47
81.87,83.71
73.91,77.39
75.54,81.14
85.67,90.75
94.92,97.96
79.52,74.31
96.49,104.65
64.49,66.97
104.18,99.03
103.91,98.21
76.16,69.38
78.69,71.99
85.19,83.36
111.55,101.97
78.02,73.19
91.0,83.56
91.18,87.6
94.53,86.72
79.66,74.38
90.72,87.14
93.4,95.7
80.33,77.84
73.94,76.86
104.13,97.14
108.76,103.48
78.8,80.41
80.75,89.42
107.37,103.94
93.64,89.87
80.62,86.41
84.8,77.31
103.9,96.92
103.7,98.39
96.84,90.08
71.03,73.91
82.15,77.79
81.4,76.94
85.17,94.01
89.19,93.69
70.86,66.29
104.91,97.69
82.98,90.09
84.68,77.54
83.74,79.0
76.99,84.7
103.19,95.46
72.83,75.24
96.68,106.12
75.29,69.71
98.12,92.91
94.3,86.2
78.32,71.52
58.68,65.13
77.29,70.91
75.59,81.1
62.4,68.64
88.88,83.78
83.99,80.14
68.25,73.54
82.71,77.37
91.74,100.04
82.53,76.21
101.62,107.3
88.89,85.56
98.82,95.38
76.32,74.09
90.83,88.79
91.97,84.76
72.77,70.04
89.41,92.56
66.97,64.21
70.59,68.2
119.58,111.96
70.9,74.16
102.68,95.34
90.09,82.12
63.64,68.88
74.14,72.26
97.06,105.39
99.94,93.14
86.22,94.12
69.21,74.18
111.12,101.3
87.72,85.5
92.8,96.67
62.57,65.17
82.61,88.93
61.84,60.1
112.75,103.44
86.9,80.54
95.74,92.69
95.23,86.73
67.5,72.89
74.19,70.93
86.1,78.49
69.18,66.4
78.19,73.56
97.29,92.04
95.6,93.09
82.35,89.41
105.89,99.15
81.33,78.05
77.96,71.72
74.86,81.82
73.84,81.5
91.96,94.9
77.59,84.71
67.76,72.24
91.37,89.49
78.26,76.2
71.83,77.4
85.29,82.97
76.98,70.04
90.01,93.09
61.11,63.86
108.46,99.96
83.61,77.63
78.48,84.56
86.51,79.14
81.88,89.19
83.93,86.35
82.67,86.56
78.65,83.85
104.94,96.81
86.7,89.84
72.26,76.14
76.72,79.74
78.35,81.28
70.4,75.37
94.28,102.03
83.04,77.18
71.14,74.88
84.69,82.23
71.9,79.36
82.54,86.43
82.52,79.73
68.24,74.99
79.32,72.5
74.16,82.4
66.97,72.32
101.18,98.32
67.28,63.83
83.2,76.05
74.39,79.22
77.02,70.78
97.91,93.34
68.78,73.18
75.03,80.25
69.49,73.38
105.6,111.99
93.44,85.34
110.63,104.86
79.0,73.55
101.17,98.13
95.61,103.36
91.04,82.91
69.03,67.35
88.65,94.72
77.37,85.59
102.87,93.78
113.57,104.96
65.4,71.24
79.34,74.56
70.47,71.99
100.34,97.04
73.99,82.02
75.82,78.01
95.26,97.2
87.81,93.62
91.9,88.98
89.3,81.56
81.69,85.9
98.1,100.93
67.12,63.08
62.98,64.33
100.66,103.35
93.94,98.88
94.46,97.99
82.58,75.28
107.1,97.63
76.95,72.6
58.84,63.2
106.16,97.12
85.12,88.11
79.41,77.62
76.84,74.96
86.9,81.82
71.51,70.11
104.69,98.86
88.0,97.46
97.24,93.14
66.49,69.99
79.98,75.6
89.86,97.99
55.75,58.56
86.04,95.28
75.75,81.01
70.05,67.62
76.97,70.23
85.22,93.85
88.96,97.12
97.99,101.55
77.19,83.0
80.3,87.0
91.71,84.21
107.94,101.83
96.8,88.97
113.8,106.66
106.91,98.35
105.62,96.81
93.66,98.8
77.33,84.98
80.51,74.14
96.02,91.8
63.1,65.39
102.06,105.55
92.36,88.46
72.78,75.26
65.61,64.14
80.34,76.15
74.7,80.76
106.32,97.63
58.87,60.69
83.61,79.78
91.83,98.43
63.26,68.32
92.83,86.51
68.24,70.06
64.15,67.53
57.68,62.83
94.91,91.78
110.03,106.52
76.24,78.44
64.35,69.87
78.04,72.32
79.09,81.03
92.05,89.36
84.75,86.57
93.82,90.39
87.93,90.27
103.52,108.96
96.46,91.96
73.12,70.71
95.8,98.76
88.85,91.13
78.7,84.62
97.91,103.94
74.01,81.33
98.63,95.39
62.91,66.22
76.03,84.2
94.61,103.4
70.06,77.08
103.42,111.56
83.84,79.54
92.65,95.71
100.43,96.01
73.07,76.27
83.65,76.25
83.38,89.18
74.35,71.77
87.97,96.46
92.73,96.39
61.8,68.59
89.75,98.09
105.07,96.93
87.64,96.95
63.42,67.68
99.38,90.93
92.12,86.74
83.25,87.82
81.29,79.54
82.28,85.97
90.23,82.56
106.66,103.36
71.36,73.94
88.04,84.81
82.52,86.68
101.37,96.73
