min_anonym,min_real
77.16,71.69
59.93,55.68
76.51,71.09
76.41,70.99
59.36,55.15
48.69,45.23
51.4,47.76
60.55,56.26
70.38,65.39
72.59,67.44
55.36,51.44
54.47,50.6
50.93,47.32
63.75,59.23
70.92,65.89
75.01,69.69
72.57,67.42
62.99,58.52
66.51,61.79
64.71,60.12
85.8,79.72
68.85,63.97
53.65,49.84
68.05,63.22
60.99,56.66
60.0,55.75
63.59,59.08
59.95,55.7
54.43,50.57
64.38,59.81
55.12,51.21
59.3,55.09
61.47,57.11
72.53,67.39
54.49,50.63
68.55,63.69
73.99,68.74
55.49,51.56
53.12,49.35
52.93,49.18
56.14,52.15
57.73,53.64
72.17,67.06
53.43,49.64
83.52,77.6
64.89,60.29
51.43,47.78
76.18,70.78
60.11,55.84
64.67,60.08
54.7,50.82
76.29,70.87
64.83,60.23
47.56,44.19
93.19,86.58
73.88,68.64
66.28,61.58
66.91,62.17
51.71,48.04
54.01,50.18
76.68,71.24
74.21,68.94
50.14,46.58
61.04,56.71
61.82,57.44
73.49,68.27
53.28,49.5
66.09,61.4
57.63,53.55
81.08,75.33
63.51,59.01
69.54,64.61
54.92,51.03
73.68,68.46
60.32,56.04
60.17,55.9
69.63,64.69
68.65,63.78
71.44,66.37
63.47,58.97
67.73,62.93
60.46,56.17
58.09,53.97
56.94,52.9
55.72,51.77
55.61,51.67
65.91,61.23
59.31,55.1
58.62,54.46
50.99,47.37
52.84,49.1
47.43,44.06
52.57,48.84
66.23,61.53
70.08,65.11
75.39,70.04
74.37,69.09
55.11,51.2
64.24,59.69
76.89,71.44
72.8,67.63
65.56,60.91
73.45,68.24
68.16,63.32
51.47,47.82
52.23,48.52
73.84,68.6
51.08,47.46
56.51,52.5
72.28,67.15
49.52,46.01
72.1,66.98
50.28,46.71
56.64,52.62
71.95,66.85
73.64,68.41
77.64,72.13
59.74,55.5
75.7,70.33
84.95,78.92
68.38,63.53
61.97,57.57
71.04,66.0
51.61,47.94
60.48,56.19
53.02,49.26
53.29,49.51
62.29,57.87
72.99,67.81
56.03,52.06
73.06,67.88
67.56,62.77
51.66,48.0
62.97,58.5
62.14,57.73
64.44,59.87
53.35,49.57
68.85,63.97
78.18,72.64
52.24,48.53
47.65,44.27
65.18,60.56
56.88,52.85
69.83,64.88
84.22,78.25
52.1,48.41
61.18,56.84
58.65,54.49
75.18,69.84
55.33,51.41
66.02,61.33
73.93,68.68
75.58,70.22
62.77,58.32
52.67,48.94
70.45,65.45
69.08,64.18
51.09,47.47
100.42,93.29
68.54,63.68
72.63,67.48
54.54,50.67
73.27,68.07
65.22,60.59
60.28,56.0
66.6,61.88
67.24,62.47
77.74,72.23
74.05,68.79
71.81,66.71
52.4,48.68
70.23,65.25
52.75,49.01
62.04,57.64
61.8,57.42
55.77,51.81
78.96,73.36
66.9,62.16
66.7,61.97
53.54,49.74
61.36,57.01
68.14,63.31
48.9,45.43
65.84,61.17
78.37,72.81
62.66,58.21
55.88,51.92
98.19,91.22
51.85,48.17
73.65,68.43
72.19,67.07
66.65,61.92
