min_anonym,min_real
35.2047,32.387
17.274,19.172
32.0411,33.2032
37.6422,34.3138
35.0533,36.2871
20.4006,22.5172
36.2179,33.4422
36.4395,34.1514
26.5038,25.3382
27.0283,25.2365
41.1845,37.9931
32.8699,30.6336
25.9664,24.7771
24.5954,26.8802
38.9489,37.0942
33.8079,37.0701
25.1832,25.7761
32.9826,35.7729
33.5072,34.9762
27.1403,29.8245
23.9977,26.5755
34.194,34.999
40.6437,38.2349
25.9981,23.9614
23.8238,25.2638
29.6672,31.5945
24.6364,27.3738
27.0589,24.8703
36.325,40.2716
27.8251,25.6216
28.9655,27.0959
32.0478,32.8359
40.3242,37.1309
30.8031,32.4243
30.159,31.5801
34.9904,35.8876
29.4494,27.0675
29.9318,30.5427
32.7535,30.4401
30.8687,33.9217
32.9997,31.3685
34.2118,35.0172
33.507,35.4197
25.3922,24.4156
23.5717,25.2374
32.6344,31.0804
28.5207,26.78
37.7783,36.7136
44.0924,40.4889
31.9558,35.467
29.0616,31.6575
30.2582,31.2262
31.3015,34.0975
39.7724,36.5555
32.6171,34.699
37.2392,36.0147
32.8266,34.4094
29.254,30.6646
24.437,26.6198
31.4526,29.2039
30.5378,32.4525
32.4296,33.571
28.1825,27.3351
33.951,35.6254
31.6867,30.3512
31.1418,29.7723
37.5053,36.5549
35.843,33.8781
26.4225,25.7278
25.5087,23.4671
28.678,27.8157
24.8313,23.2285
32.623,33.2888
23.6825,22.2789
36.7666,34.3292
28.1774,26.042
26.326,27.5089
23.9275,23.1407
33.5317,35.4458
30.2211,32.7068
37.0891,38.8775
26.3512,28.5495
36.6358,35.8472
25.3275,27.322
24.27,25.4136
29.231,32.0164
24.7877,22.9728
37.4621,35.375
37.1604,38.4683
37.8437,34.4347
40.7108,37.9411
37.4372,40.5604
32.9503,36.249
29.458,27.0009
34.1751,32.1799
24.0443,25.2037
28.8277,30.766
41.1894,37.8927
23.1117,25.5378
36.8399,39.0667
35.8704,33.43
25.0152,27.2794
22.885,25.4278
33.5571,32.0814
37.2111,35.4729
33.6951,31.9385
26.7711,29.1942
34.6603,33.0413
35.1404,38.4048
28.0803,27.0784
25.3085,24.6912
26.8663,25.0152
42.1094,40.4509
32.0555,34.1016
27.0468,29.3987
38.6617,37.4629
36.7384,33.5204
32.276,30.4491
27.3373,26.2859
33.9639,31.8611
36.2998,34.9709
23.0006,25.2476
37.2113,34.4549
31.9691,33.4755
31.5289,33.7569
30.1769,29.1002
26.0149,28.3078
37.5151,35.4921
36.5286,34.107
38.5286,35.3149
31.1026,33.5881
39.0439,37.8699
37.2326,36.3955
27.2899,28.6058
38.3477,35.8055
37.4257,39.8995
37.9842,35.0085
35.3638,37.5811
21.4928,23.1105
31.7334,33.3685
37.0825,34.6565
25.6987,28.1167
36.1818,34.3281
36.2877,33.8821
28.2148,27.0257
27.1639,29.0523
29.8831,27.7209
33.4248,36.8115
22.5601,23.9492
29.7281,31.525
25.269,26.7964
35.9051,34.8932
34.2914,36.4414
29.0336,27.442
24.8936,24.0286
39.7278,36.5145
32.7017,31.7801
34.2161,35.4939
37.3949,39.198
37.2357,38.4666
32.8037,36.3275
36.846,38.5418
32.015,30.5195
25.4437,27.9601
25.3703,27.4273
29.0867,27.0574
30.2701,29.5606
33.1197,31.1862
33.9714,36.2168
30.641,29.8354
21.8152,24.1052
38.0605,38.9565
42.4182,39.1673
34.4711,37.8388
40.4185,36.9119
34.7194,37.4535
28.0022,29.6634
34.3308,32.1449
38.8024,36.1963
23.3353,24.4861
28.0128,30.7495
34.5848,32.1122
40.533,37.5653
29.3482,26.8756
25.2676,24.7479
27.6966,29.3396
24.8546,23.5366
32.9349,33.8488
29.5444,26.883
25.593,24.9202
43.187,39.4042
29.3668,30.6543
20.4296,20.8465
19.7853,21.3895
27.7842,26.7671
32.4591,31.2708
34.437,36.7917
36.8784,34.21
33.448,30.8846
26.6097,26.0114
34.0553,33.0955
32.6239,29.7663
28.3787,30.5476
30.4844,29.8282
28.0647,25.5134
28.0214,29.4652
32.7696,30.5117
36.4041,34.8032
26.0068,28.7051
32.2256,34.0651
36.32,35.3996
33.4265,35.6359
29.4764,28.4247
35.4633,33.2676
34.9367,35.9062
31.2412,29.9532
31.3275,32.1638
26.5044,28.53
41.1296,39.171
37.3929,35.2763
25.9936,25.4092
28.8269,27.35
22.8138,24.1672
26.6731,27.2452
32.8922,34.6599
38.8529,36.7577
35.5645,34.7649
26.4771,29.0319
33.4926,36.9676
26.4964,28.4296
24.8651,22.7494
38.7359,35.4724
35.6997,38.1
24.1212,25.9647
41.2635,38.4562
26.3679,27.7265
30.0313,29.3561
23.2689,24.3653
38.8114,36.7881
30.7173,34.0169
39.9443,36.5122
30.15,31.0825
32.1968,33.8914
30.483,29.7686
33.4948,30.5331
30.3814,33.0952
37.5409,36.1318
27.7101,28.7449
31.4943,33.4334
38.0876,35.4303
33.5709,36.6494
32.305,30.1916
31.5423,30.1552
29.275,28.45
39.357,38.2107
27.2482,25.5372
36.257,33.172
39.018,35.5679
29.2065,29.8941
28.5834,30.8343
37.1842,35.2791
26.4682,28.0383
26.2023,25.4391
35.7544,34.6122
34.2551,33.0648
29.9385,28.9821
33.1923,31.0208
27.8762,30.1691
36.0462,38.3879
35.877,37.9249
37.6146,36.6614
33.461,36.3706
33.7607,32.8092
28.9652,29.9847
38.7365,37.3184
29.6024,31.5591
29.2153,30.7529
24.4474,25.0486
38.2895,36.5358
28.2543,29.4316
28.2448,29.2087
32.2941,34.8748
27.6297,30.2625
27.5638,29.8633
39.1838,37.2824
31.6101,32.7227
32.1344,30.2015
30.6633,33.6959
34.7657,36.7114
25.7067,24.1832
28.4909,31.3431
36.944,36.0429
27.1638,30.1151
30.9027,32.6322
32.251,33.1459
31.0866,33.9744
22.1185,21.579
32.914,30.031
20.1381,21.1757
23.681,24.8489
30.5026,32.3121
25.6634,24.2336
23.7713,25.4239
27.621,26.4316
28.6307,26.0516
30.0428,31.262
31.1154,29.7186
26.4878,28.4509
36.7687,38.6226
