min_anonym,min_real
52.4653,48.2661
52.8238,58.628
40.9735,42.4596
38.1964,34.819
32.8338,33.9894
32.1588,35.4954
43.6282,40.2846
39.2646,36.7991
48.3261,46.2009
37.4759,34.9915
49.7567,45.901
45.4406,42.3491
35.8867,34.243
39.406,43.0667
35.1179,33.4456
39.038,42.8048
35.2958,36.1267
33.8751,36.7409
34.2464,35.7478
35.7361,39.2704
32.2897,35.7583
33.6559,34.4482
39.9166,37.5509
47.842,44.094
28.0443,29.7395
42.835,45.6177
30.6612,34.068
32.6321,29.9927
40.1486,44.5106
47.8195,44.0327
32.0219,29.955
36.5462,37.4449
38.3619,35.324
39.2043,41.2677
40.0587,41.9463
36.2775,37.2077
47.4452,43.6077
32.2858,32.9447
32.6463,30.3404
45.6733,50.1904
45.3608,43.1186
44.6038,45.6538
45.9582,48.5816
37.4893,36.0474
24.4501,26.1778
48.1957,45.9007
37.4703,35.1834
32.0331,31.1303
47.7113,43.812
39.4724,43.8095
41.9609,45.709
32.8288,33.8791
45.3635,49.4156
44.9086,41.2763
29.0422,30.896
40.9915,39.6436
48.4308,50.766
37.6156,39.4294
27.0733,29.4916
43.6296,40.5103
44.8181,47.6282
28.3221,29.3189
32.6812,31.6985
32.1911,33.7787
42.9911,41.1792
42.6677,40.7913
43.582,42.4776
35.0935,33.1697
31.468,30.6407
27.4153,25.2211
46.265,44.8739
34.6142,32.38
36.4837,37.2283
43.1942,40.6342
50.2779,46.9448
47.3193,43.7332
44.6584,46.665
44.0388,42.5907
36.5586,38.6455
29.8095,32.2614
36.7,38.4696
38.1996,41.3863
34.0288,33.2963
38.9736,42.0427
37.5681,39.3383
32.4799,35.5749
40.3728,37.4169
45.7755,43.2252
38.4743,39.8285
36.8987,33.5748
44.1101,41.1091
40.7809,44.183
41.1787,45.3011
45.8437,42.0199
33.2377,31.2973
39.2377,41.1297
34.5068,36.8269
47.4485,43.6509
38.401,42.432
44.4917,47.181
38.2501,35.6478
36.6536,39.9712
36.4478,40.4975
45.3291,43.3357
36.0495,34.3656
42.9946,40.7532
37.9035,41.3342
36.5267,34.8205
40.7816,44.57
45.5854,43.9589
36.6522,35.7582
41.4839,38.6256
39.1585,37.6162
39.5683,42.0939
27.0546,29.4072
30.1737,29.2381
43.516,39.7044
41.2012,38.8691
39.9828,38.445
34.4006,32.2707
48.4062,46.6341
34.2218,37.5651
50.4347,46.6988
50.8873,53.2851
38.615,41.3437
47.7068,46.0046
35.5147,38.6449
41.7281,39.4779
45.0403,42.0544
32.7214,29.9921
34.0136,36.7318
43.9686,42.6466
42.3143,41.363
37.1382,38.9289
51.5461,48.1289
34.9441,37.2538
46.4292,42.7919
35.9123,38.164
32.582,35.0344
31.5843,33.2117
38.1316,35.637
33.9316,37.1243
44.791,42.4962
39.3398,36.7318
24.3855,23.3578
36.9399,39.5079
45.0273,41.7693
34.6713,38.1842
36.1098,38.3331
42.5516,45.1237
41.9263,44.4605
36.4602,35.4327
29.5721,31.4262
38.6366,36.5185
52.3519,50.5327
42.2903,38.8698
46.9292,45.6066
42.4108,43.9946
21.456,22.4906
36.9905,38.2133
38.6544,42.8066
40.5528,42.4192
33.6668,32.0942
38.1622,41.9365
33.5554,36.2761
36.0674,33.5511
36.6718,35.8123
37.1538,34.9847
43.3226,46.1861
42.7823,41.6575
39.5793,43.734
30.8782,31.6051
46.5927,43.0219
34.4854,37.8545
38.5586,35.2133
31.8667,34.3762
36.9213,39.1115
43.9428,41.1449
48.6192,45.3537
33.199,34.8363
37.1231,40.7498
38.8574,36.0793
40.5034,37.5379
44.7603,40.9893
43.9089,43.0058
35.5286,37.6362
52.008,49.25
25.0292,25.7237
35.4536,32.2599
40.8454,39.7716
41.2178,37.6075
35.8251,37.3957
35.3879,36.1101
31.0559,33.5739
48.8484,47.0601
52.0715,50.1652
27.4113,29.2856
49.5172,45.9343
30.6132,28.267
33.4458,32.6938
40.5482,39.4054
41.7973,38.1362
28.0802,30.2263
38.2522,37.4288
42.6614,38.7831
38.9322,40.9382
39.3801,36.6668
37.1807,35.5456
29.8542,32.9517
33.7428,35.6689
47.5228,46.3185
35.2638,37.5947
47.1572,45.4746
40.2365,37.7453
30.0699,30.9043
44.7125,42.8691
34.5903,35.5137
42.563,45.8159
