min_anonym,min_real
37.93,41.73
47.69,51.9
42.61,40.51
62.94,58.88
48.51,45.81
51.46,47.6
38.61,39.6
46.48,48.62
56.85,59.16
56.09,52.18
66.25,64.76
71.62,67.18
41.38,44.26
63.32,60.25
50.63,55.88
54.92,58.37
58.61,53.38
53.2,56.24
50.71,48.58
63.54,58.67
46.41,50.61
56.16,61.92
59.26,57.59
45.1,43.7
43.68,46.87
70.6,68.28
50.41,53.11
69.96,65.63
63.38,65.2
55.94,58.76
61.04,57.53
64.59,62.95
55.75,60.73
54.93,53.43
69.53,63.73
57.74,60.08
52.89,56.88
51.91,50.55
43.46,46.58
64.61,61.71
58.27,56.3
57.58,62.93
62.27,65.75
55.98,58.87
37.69,41.11
61.24,66.42
49.99,46.51
46.1,50.99
56.42,62.69
44.58,43.62
50.6,47.02
61.84,60.1
54.87,58.24
40.43,42.79
35.53,38.83
71.24,66.51
44.05,40.23
55.15,59.37
57.61,55.13
68.11,65.05
52.43,55.96
59.48,55.38
70.98,68.45
53.23,49.65
61.37,65.43
48.08,52.6
52.69,55.76
61.2,59.88
43.82,44.85
55.34,59.89
58.05,63.51
47.12,52.36
60.34,62.99
59.81,58.58
45.95,49.95
49.47,50.94
76.35,69.47
53.65,51.64
62.69,59.82
55.37,60.25
59.44,55.7
40.99,39.23
42.41,44.93
62.67,61.32
42.42,41.07
41.05,44.48
51.39,53.31
42.47,45.32
63.14,66.39
56.61,53.86
47.47,50.55
48.78,49.88
57.43,54.54
58.59,64.6
47.79,46.12
61.35,66.9
44.91,42.81
58.72,64.74
68.87,62.84
41.24,44.97
40.0,43.66
47.74,50.47
64.63,69.27
44.43,45.57
60.68,55.36
54.35,59.33
53.9,56.2
53.11,49.41
57.34,53.94
69.0,63.3
52.75,50.87
48.16,46.49
60.35,61.89
65.35,67.58
51.06,54.31
59.51,57.78
68.18,64.2
64.36,60.49
55.68,53.03
49.7,47.11
66.74,65.31
71.0,65.86
54.18,58.57
42.6,43.47
49.69,46.53
44.4,48.47
62.2,59.24
62.6,59.62
50.57,46.56
69.94,65.55
53.68,54.84
50.48,49.01
49.41,51.31
51.81,49.06
73.08,66.44
44.67,46.19
61.8,65.47
43.74,47.59
61.89,59.8
54.41,56.26
49.74,48.25
39.97,38.62
37.2,39.57
49.11,51.16
45.64,42.46
47.01,51.21
50.94,54.83
33.93,37.49
56.76,54.89
60.41,62.67
48.14,46.03
59.92,62.74
52.31,56.92
69.57,65.82
43.93,48.17
63.47,58.07
59.24,54.3
42.95,41.74
57.18,59.81
41.56,40.75
39.74,42.19
74.93,72.04
47.63,49.67
59.19,64.55
50.61,48.34
47.97,43.81
45.63,44.13
69.89,68.32
63.45,59.47
55.11,59.0
51.62,47.1
68.89,65.42
56.08,57.29
60.61,63.6
41.8,39.43
49.99,54.28
36.66,39.01
64.6,67.08
45.15,50.17
50.9,55.93
52.85,54.94
51.04,48.51
45.64,43.34
53.3,48.77
38.74,42.95
46.61,47.71
65.11,59.46
58.77,56.78
56.45,55.13
58.41,63.98
49.22,52.76
44.24,45.28
48.38,51.14
47.04,51.64
55.35,60.69
53.04,49.61
42.0,42.99
58.28,56.03
49.86,46.6
45.33,49.65
44.09,48.29
44.72,41.56
56.73,60.54
38.8,37.74
62.35,61.13
41.33,44.06
52.41,56.72
52.15,50.87
61.72,60.45
55.93,54.3
52.0,53.27
57.24,54.67
50.09,54.39
58.12,53.08
41.25,45.63
49.67,51.26
48.95,45.03
46.52,42.52
67.27,65.44
50.33,47.35
45.51,47.85
51.21,47.59
57.02,52.51
61.6,57.78
41.92,46.12
45.57,44.37
44.21,47.54
49.66,53.34
42.99,44.64
70.07,64.17
40.87,43.47
49.28,47.89
54.01,52.74
38.54,40.27
63.1,60.68
46.59,44.75
48.65,49.95
40.49,44.5
72.49,74.65
53.2,51.7
67.6,72.07
43.86,41.3
57.37,61.75
72.51,67.45
62.17,57.04
41.85,43.37
64.95,63.68
52.55,54.86
56.92,59.72
68.95,64.49
46.27,43.4
50.2,46.27
47.12,44.88
53.75,57.67
53.68,52.62
45.06,49.9
57.58,61.71
50.21,54.28
57.21,60.48
49.98,52.61
57.98,53.49
61.04,65.84
46.13,43.6
29.86,32.11
68.71,70.48
64.46,60.75
69.61,65.42
51.82,49.87
68.37,64.01
52.71,48.63
33.11,36.63
71.88,65.83
60.46,56.99
54.61,51.13
44.79,48.16
55.33,54.03
49.61,46.93
64.35,61.87
63.33,62.03
59.82,63.37
44.3,42.8
47.74,43.4
65.77,62.1
40.45,38.93
61.94,57.78
53.33,50.94
39.9,43.56
42.34,44.06
53.03,58.21
60.82,63.16
70.53,67.81
52.1,57.44
58.87,60.07
58.27,54.71
63.3,68.21
57.77,52.66
71.09,68.96
66.18,61.17
65.39,63.3
62.73,60.14
57.54,59.02
42.32,44.79
55.89,59.78
36.94,35.94
72.72,69.46
51.98,55.42
47.81,52.37
42.08,40.16
55.95,50.95
44.83,49.54
65.73,63.69
36.07,38.79
46.56,50.61
68.94,65.34
43.22,44.28
52.41,57.28
48.45,44.94
43.88,45.0
39.01,41.41
52.52,55.93
64.39,69.17
55.5,51.29
47.14,42.93
42.32,45.02
43.51,45.9
65.32,61.51
51.12,55.56
59.1,57.83
67.65,62.53
72.47,75.26
55.91,60.44
45.17,42.86
59.09,64.3
55.15,57.51
52.75,51.41
61.8,64.57
54.25,51.32
69.91,63.9
45.12,43.55
47.07,50.18
64.37,67.33
49.86,46.95
72.38,74.54
51.59,52.8
57.78,61.47
68.62,63.9
53.08,49.15
44.25,48.79
53.63,58.11
48.62,47.21
68.92,62.71
61.35,63.83
46.85,43.3
55.91,61.65
60.35,64.41
65.44,61.62
45.06,41.69
61.27,57.16
50.83,55.55
46.46,50.88
51.33,48.98
50.05,55.36
52.98,55.89
66.78,64.9
50.08,49.1
56.34,53.7
58.23,55.35
66.18,62.14
59.87,62.69
40.82,42.43
47.45,45.1
50.68,55.82
62.45,57.19
46.71,42.85
47.06,49.44
61.46,56.49
55.81,57.72
46.71,49.53
67.9,63.57
52.73,50.36
49.91,51.83
55.15,51.69
60.15,65.02
52.41,56.47
73.76,67.12
56.48,53.23
74.8,70.84
56.46,57.97
50.29,46.44
52.56,49.54
40.35,43.77
47.06,45.96
47.42,52.28
50.04,45.95
55.24,53.95
44.97,41.34
50.68,52.03
51.43,54.48
54.49,51.9
51.58,52.79
64.6,63.09
68.75,65.73
55.14,60.06
53.79,49.66
47.51,48.58
59.58,56.9
64.82,67.38
47.71,51.75
48.83,45.59
66.81,61.97
62.29,63.56
56.27,58.31
