std_anonym,std_real
17.07,15.66
12.63,11.84
12.82,13.73
10.87,11.51
11.29,12.03
14.85,14.35
13.26,14.33
11.98,13.08
15.27,16.02
15.58,14.76
14.17,15.23
16.6,17.78
12.46,11.99
14.24,14.62
10.19,11.09
16.61,15.68
11.57,12.5
12.86,13.4
11.79,13.0
12.36,13.53
17.54,18.08
12.73,12.27
14.31,13.93
15.08,16.67
11.16,11.53
14.73,14.26
15.45,15.11
10.54,11.66
14.3,14.79
11.8,12.12
14.46,13.58
12.82,12.39
9.58,9.88
14.12,14.89
13.16,14.46
15.57,15.16
18.84,18.21
11.55,11.19
10.15,11.18
10.95,11.35
14.39,14.76
14.37,13.88
15.27,15.79
11.0,11.77
17.47,16.7
16.61,16.94
14.02,13.12
14.36,13.66
16.55,15.72
16.08,14.63
13.9,15.37
14.3,13.8
12.5,13.54
15.46,14.68
15.28,14.98
13.94,12.82
15.0,16.23
12.71,12.25
11.88,12.28
19.18,17.86
18.48,17.18
12.11,11.08
12.89,12.53
13.63,12.51
13.69,14.16
14.25,15.16
15.56,14.56
10.7,11.64
12.71,11.62
13.65,14.48
16.74,15.45
16.53,17.79
15.16,14.1
15.17,14.6
15.07,14.27
13.62,14.72
16.95,16.18
13.92,15.45
14.22,13.29
11.94,11.49
14.54,13.72
13.04,13.55
11.85,12.81
12.38,13.55
13.94,14.74
13.63,13.21
14.4,13.92
12.63,13.79
14.33,13.19
13.19,13.49
14.31,14.98
14.55,15.62
16.95,17.96
13.49,13.93
12.73,11.9
13.18,14.3
14.1,14.64
16.21,15.41
16.29,15.39
17.29,15.75
15.34,14.04
16.16,15.81
15.51,14.18
14.02,13.15
12.77,11.73
16.75,16.09
14.01,12.85
13.51,12.62
16.7,16.05
14.36,14.71
14.04,13.6
16.3,16.94
14.96,13.95
15.64,14.88
11.78,12.02
11.46,12.69
15.09,14.6
15.88,15.24
12.57,13.48
16.83,15.34
15.55,14.5
12.28,11.65
17.09,15.9
15.04,15.65
13.21,12.51
16.11,15.23
12.45,13.74
14.32,15.04
16.07,15.03
13.32,12.4
11.9,12.92
13.21,12.1
13.42,12.66
12.85,14.13
18.89,17.47
13.82,14.28
12.96,14.23
13.7,12.69
14.92,14.13
12.42,11.35
14.15,12.93
10.48,11.64
17.2,15.78
12.74,13.66
11.76,12.94
14.18,13.36
15.94,15.21
12.26,13.21
16.12,15.08
10.95,11.94
18.0,16.62
11.13,11.76
14.95,14.39
12.37,11.94
16.19,15.72
15.94,15.58
16.98,15.65
16.47,15.85
12.41,12.84
15.43,14.8
16.97,16.39
14.13,13.23
10.31,10.79
18.32,17.01
15.04,13.71
10.37,11.22
12.36,12.05
10.98,11.92
17.96,16.74
12.1,13.21
14.56,15.6
13.52,12.33
16.79,16.36
13.22,13.77
11.75,12.24
12.77,13.74
13.71,13.33
12.67,11.62
17.67,16.37
12.64,12.24
14.88,13.55
12.5,13.5
14.53,13.89
16.12,14.7
16.83,16.15
11.7,11.0
16.22,15.35
12.94,12.6
11.38,12.36
11.3,10.58
10.86,10.43
13.33,12.27
11.87,12.97
10.7,11.82
17.65,18.22
14.12,15.41
11.13,11.86
16.95,16.6
12.55,12.22
13.15,14.17
13.61,13.24
15.38,13.99
12.19,12.61
13.36,13.96
13.84,12.76
17.75,16.48
10.63,11.46
14.3,13.09
14.7,16.02
12.21,12.56
14.38,15.06
11.25,12.0
17.71,16.34
17.24,17.86
10.59,11.16
13.11,13.62
13.16,13.66
14.82,15.87
11.01,11.91
17.99,16.72
14.2,14.95
13.93,13.53
12.11,13.36
15.55,16.28
17.37,16.78
15.64,17.19
16.57,15.15
11.48,12.76
15.45,16.68
14.88,14.46
15.14,14.37
14.04,12.83
11.9,12.68
12.73,11.7
16.7,15.92
12.27,13.05
10.71,11.46
12.1,12.78
14.63,15.51
14.67,13.4
13.51,12.81
13.84,12.89
11.07,10.74
13.22,14.29
17.02,15.5
14.92,14.56
13.04,13.93
9.66,10.68
13.56,12.36
15.45,14.28
13.39,14.59
13.59,12.78
17.31,17.69
13.89,13.44
11.51,12.77
15.3,15.74
12.94,13.2
13.95,14.87
16.4,15.87
12.76,11.65
15.18,15.96
12.76,13.13
17.71,16.65
15.73,16.07
11.93,12.25
11.92,12.55
13.83,14.34
13.08,11.92
15.51,14.14
16.17,15.25
11.09,11.92
13.49,12.35
14.97,15.5
15.36,15.02
16.1,15.71
14.25,13.42
12.08,11.84
15.07,14.23
13.32,14.76
12.34,11.82
15.57,16.39
17.4,16.45
9.9,10.79
15.56,16.35
15.08,16.7
13.76,14.72
13.46,12.99
12.71,11.59
12.64,13.92
11.2,12.23
10.97,11.36
12.24,13.16
15.35,16.63
16.53,15.18
17.81,16.8
13.29,12.21
16.11,15.1
13.95,12.83
15.61,14.31
11.49,12.12
12.75,14.01
11.7,10.78
12.63,12.08
14.37,14.89
15.01,15.52
16.17,15.49
11.94,12.35
12.92,12.63
16.87,15.99
15.5,16.76
12.4,11.39
12.75,13.15
14.26,13.6
15.56,16.67
13.2,14.25
13.28,12.38
14.5,14.89
12.57,13.23
12.24,13.34
14.41,13.94
15.2,14.71
13.07,13.44
12.04,13.08
17.3,16.03
11.55,11.84
14.35,13.93
17.04,17.41
17.23,16.6
13.85,14.22
11.76,12.37
15.83,15.09
16.11,15.58
11.01,11.35
15.58,15.98
14.86,15.97
11.3,11.99
12.93,14.2
11.4,11.02
16.65,17.53
13.19,14.6
10.22,11.17
15.41,16.95
9.85,10.62
12.65,12.0
13.82,14.28
16.9,16.15
11.8,12.32
16.25,14.81
15.18,16.23
12.81,12.36
12.97,14.22
13.92,14.47
13.67,15.17
12.73,13.91
14.27,13.17
10.48,11.6
11.73,12.52
13.95,12.76
14.11,13.29
14.84,15.65
15.79,15.45
11.8,12.33
17.85,16.33
12.51,12.12
12.2,12.64
11.88,11.44
13.53,14.21
12.21,11.65
11.33,12.16
13.26,12.57
12.77,13.27
16.81,15.55
14.76,15.35
13.54,14.29
14.01,15.05
17.09,16.32
13.07,13.7
13.12,13.43
16.16,16.68
11.31,11.96
13.26,13.78
14.3,14.8
13.22,14.25
17.42,16.71
16.96,15.52
15.8,14.66
17.49,17.96
12.04,11.79
11.12,11.92
14.17,15.47
16.14,15.03
14.94,16.53
15.56,16.79
15.63,14.73
14.25,15.78
13.83,14.92
15.2,15.53
12.22,13.33
14.52,14.95
11.49,12.7
12.16,12.51
16.28,15.26
15.63,15.19
16.05,14.6
12.38,11.84
17.95,16.33
14.54,13.28
15.56,16.89
14.84,13.91
18.3,16.87
11.37,11.77
13.92,12.83
11.97,12.79
14.4,13.4
18.83,17.88
15.8,14.74
14.47,15.24
13.9,13.51
11.64,12.9
16.09,15.22
13.13,12.11
10.85,11.47
17.27,16.92
13.96,12.83
18.57,17.93
13.4,13.05
12.7,11.61
14.48,15.21
15.23,16.48
11.51,11.0
12.49,13.32
14.98,13.81
9.65,10.48
15.3,14.59
15.63,14.78
11.0,12.03
11.05,11.37
16.47,15.42
13.95,12.76
12.09,11.85
11.24,11.9
12.46,12.77
11.39,12.64
13.4,12.97
11.97,13.27
14.24,14.6
15.72,16.84
11.77,12.39
15.41,16.36
16.59,15.89
14.53,15.68
14.75,15.17
13.8,12.9
16.06,15.26
15.06,16.11
15.5,14.3
15.56,14.23
12.73,13.02
13.79,14.55
15.32,15.9
15.37,17.07
13.05,14.25
13.52,14.82
16.29,15.9
13.29,14.3
13.29,12.42
15.68,16.72
16.27,15.12
13.2,12.62
14.22,15.19
13.13,14.09
10.73,11.12
13.22,12.31
12.79,13.63
16.89,17.34
14.02,14.44
12.15,13.48
13.04,12.72
13.36,12.36
15.47,14.86
14.96,15.82
10.2,11.09
16.14,16.65
17.07,16.2
12.03,13.29
14.89,15.61
12.65,13.45
15.8,17.35
18.61,17.03
17.63,16.95
13.71,13.05
12.1,11.13
14.01,12.87
14.08,14.59
13.68,14.51
13.18,14.23
10.82,11.54
18.76,18.12
10.48,11.49
12.58,12.97
15.25,15.74
15.8,15.44
17.07,16.33
16.21,16.66
12.29,11.39
16.8,15.53
15.67,14.41
15.75,15.16
10.39,11.32
17.01,16.29
14.37,13.31
14.7,15.06
15.44,15.11
10.85,10.63
10.27,11.05
9.92,10.72
17.57,16.99
11.76,12.11
16.62,15.42
14.3,13.64
14.42,13.21
13.93,15.19
17.83,16.6
16.63,15.33
14.18,15.51
14.74,14.28
14.6,13.72
14.57,15.92
11.6,10.82
15.61,14.61
14.36,13.76
12.34,11.82
13.43,13.99
14.77,14.2
12.21,11.51
10.18,11.29
12.48,12.2
12.25,13.02
14.24,14.96
11.47,11.99
12.35,12.11
11.91,12.22
13.4,12.68
14.89,15.98
15.29,14.87
14.73,15.82
11.86,13.18
15.75,14.89
12.85,13.65
17.34,16.91
13.98,15.24
14.67,13.97
13.53,14.64
14.64,13.85
12.65,11.99
16.51,15.76
15.85,17.48
15.22,14.81
10.55,11.53
14.32,15.47
14.5,13.73
15.88,17.6
10.4,11.41
14.43,13.28
13.9,13.18
11.26,12.21
12.18,11.49
12.91,14.22
12.54,13.85
11.26,11.76
15.65,17.37
13.15,12.7
14.5,16.09
11.85,12.92
13.52,12.94
15.43,16.7
16.77,15.52
13.71,15.05
14.71,14.31
14.06,13.31
16.26,15.56
13.85,14.57
15.66,14.8
12.79,11.94
11.95,12.2
12.98,14.24
17.57,16.45
10.03,10.51
17.55,16.99
12.89,12.11
15.22,14.2
16.12,16.76
13.98,14.35
13.99,14.95
13.92,15.35
11.78,11.55
15.93,14.48
11.84,11.24
15.56,17.12
13.1,14.21
18.51,17.1
15.24,13.95
11.89,12.21
15.69,15.02
14.96,14.67
14.6,15.65
15.23,14.28
12.67,13.56
12.93,13.33
14.02,15.29
12.07,12.31
10.55,11.24
16.33,16.66
14.77,13.97
17.55,16.18
11.04,11.66
15.87,16.67
12.0,11.02
12.3,12.65
15.52,15.95
15.67,16.19
14.84,13.78
13.27,14.19
11.04,11.58
18.3,17.24
16.52,15.2
13.9,12.71
12.84,13.78
16.95,17.41
13.0,12.72
15.29,14.08
12.6,12.31
16.09,17.68
10.31,11.04
13.98,13.22
12.23,11.6
19.31,18.71
12.81,12.33
12.62,12.12
13.7,15.2
13.35,14.14
13.12,14.57
13.13,14.27
13.16,13.61
12.92,12.36
15.01,14.24
12.47,11.82
18.51,17.57
12.62,11.72
13.76,12.99
11.82,12.34
15.89,17.53
14.17,13.72
13.89,14.23
16.6,16.15
13.93,12.89
15.25,15.66
15.46,14.98
16.84,17.42
13.27,12.99
15.27,14.6
17.73,16.7
12.97,12.51
11.26,12.08
16.29,15.35
12.38,13.71
12.88,11.85
13.41,14.57
14.34,15.27
14.88,15.86
11.23,12.04
15.17,13.87
12.44,13.1
15.19,16.65
11.88,13.08
14.27,13.86
15.38,16.81
13.39,13.0
9.82,10.33
16.81,17.64
14.65,13.39
18.9,17.53
12.86,12.37
12.13,11.16
11.0,11.83
12.03,13.12
15.28,14.16
12.7,11.91
10.82,12.0
18.59,17.14
15.04,15.98
13.46,12.6
14.24,13.68
10.85,9.95
14.21,14.79
13.15,14.5
11.36,11.89
17.34,16.58
15.53,16.95
11.53,10.7
15.18,13.97
14.37,15.14
12.07,12.57
14.45,15.82
13.15,12.78
