std_anonym,std_real
14.54,14.09
11.68,11.32
15.52,15.04
18.61,18.04
15.32,14.85
16.33,15.83
15.56,15.08
18.48,17.91
18.29,17.73
20.37,19.74
20.36,19.73
19.06,18.47
18.15,17.59
21.08,20.42
17.79,17.24
16.5,15.98
15.79,15.3
18.76,18.18
15.5,15.02
16.81,16.29
19.72,19.11
23.58,22.85
23.21,22.49
14.05,13.62
16.12,15.62
20.6,19.96
16.29,15.78
20.41,19.78
16.46,15.95
19.82,19.21
20.31,19.69
19.87,19.25
21.51,20.84
19.68,19.08
18.17,17.61
21.0,20.35
21.54,20.88
13.79,13.36
13.91,13.48
14.48,14.03
16.18,15.68
22.17,21.48
20.36,19.73
16.7,16.18
16.47,15.96
20.39,19.76
15.22,14.75
16.19,15.69
22.97,22.25
14.96,14.5
14.96,14.5
22.89,22.19
17.11,16.58
17.61,17.06
16.48,15.97
21.85,21.18
18.96,18.37
18.81,18.23
19.77,19.15
20.61,19.97
18.43,17.86
16.41,15.9
18.37,17.8
20.15,19.53
20.94,20.29
20.63,19.99
15.68,15.2
17.99,17.43
14.86,14.4
21.38,20.72
21.05,20.4
22.78,22.07
22.44,21.74
21.59,20.92
15.03,14.57
18.8,18.22
15.21,14.74
19.57,18.96
17.71,17.16
17.33,16.79
18.47,17.9
16.07,15.57
16.6,16.08
23.11,22.39
14.72,14.26
16.58,16.06
18.1,17.54
17.05,16.52
20.56,19.93
19.89,19.28
18.41,17.84
17.88,17.33
22.09,21.41
21.22,20.56
20.1,19.48
22.19,21.5
14.28,13.84
19.13,18.54
18.66,18.08
15.04,14.58
16.52,16.0
15.8,15.31
20.92,20.27
17.08,16.55
16.58,16.07
18.75,18.17
18.64,18.06
14.52,14.07
19.89,19.28
19.98,19.36
15.33,14.85
19.6,18.99
19.26,18.66
21.48,20.82
19.81,19.2
16.46,15.95
17.49,16.95
17.9,17.35
19.03,18.44
17.2,16.67
19.81,19.19
19.12,18.53
16.93,16.41
15.89,15.4
12.97,12.57
13.92,13.49
17.74,17.19
20.21,19.59
15.42,14.94
20.54,19.9
21.0,20.35
15.9,15.41
20.13,19.5
17.3,16.77
17.37,16.83
16.87,16.35
21.84,21.17
14.4,13.95
18.92,18.34
19.65,19.05
18.5,17.93
15.64,15.15
14.1,13.66
16.32,15.81
15.68,15.2
19.82,19.2
20.49,19.86
16.6,16.08
16.39,15.88
19.91,19.3
15.76,15.27
19.19,18.59
18.54,17.97
22.14,21.45
19.67,19.06
18.21,17.65
17.49,16.95
16.45,15.94
21.75,21.08
17.87,17.32
15.04,14.57
16.95,16.43
14.31,13.86
22.82,22.12
17.02,16.5
13.82,13.39
15.16,14.69
19.81,19.2
22.55,21.85
15.88,15.39
16.49,15.98
16.98,16.46
22.05,21.36
15.59,15.11
15.58,15.1
18.72,18.14
16.92,16.4
20.75,20.11
21.4,20.74
17.72,17.17
15.78,15.29
18.62,18.04
15.64,15.16
16.52,16.01
15.66,15.18
13.76,13.33
18.51,17.93
20.27,19.64
19.75,19.13
14.24,13.8
14.75,14.29
17.85,17.3
22.8,22.09
17.42,16.88
16.59,16.08
15.48,15.0
14.07,13.64
19.9,19.29
16.51,16.0
17.69,17.15
15.47,15.0
14.17,13.73
18.57,18.0
16.88,16.35
22.09,21.4
17.0,16.47
15.9,15.41
15.27,14.8
19.35,18.75
17.2,16.67
25.54,24.75
13.48,13.06
21.26,20.6
23.22,22.5
17.24,16.71
15.15,14.68
16.06,15.57
19.59,18.98
21.26,20.6
19.58,18.98
15.46,14.99
16.61,16.1
17.0,16.47
19.82,19.2
20.0,19.38
15.84,15.35
16.32,15.81
19.53,18.92
14.14,13.7
23.22,22.5
16.54,16.03
14.67,14.22
17.6,17.06
16.34,15.83
15.46,14.99
17.63,17.09
15.11,14.64
15.69,15.2
17.06,16.53
18.82,18.24
21.71,21.04
15.02,14.56
19.58,18.98
20.98,20.33
18.31,17.74
14.13,13.69
14.96,14.49
18.8,18.22
19.33,18.73
21.67,21.0
17.73,17.18
15.01,14.55
18.72,18.14
15.76,15.27
14.83,14.37
14.67,14.22
19.98,19.37
16.57,16.05
17.3,16.76
18.49,17.92
17.54,17.0
21.95,21.27
18.25,17.69
15.66,15.18
19.83,19.22
23.4,22.68
17.43,16.89
17.39,16.85
20.67,20.03
16.42,15.91
15.35,14.88
18.13,17.57
17.98,17.42
19.56,18.96
16.35,15.84
18.86,18.28
13.3,12.89
22.27,21.58
25.1,24.32
18.56,17.99
19.61,19.01
20.3,19.67
19.74,19.13
14.93,14.46
20.77,20.13
13.84,13.41
17.21,16.68
14.24,13.8
16.92,16.39
19.83,19.21
20.28,19.65
20.35,19.72
21.04,20.39
17.1,16.57
20.94,20.29
18.74,18.16
20.47,19.83
20.0,19.38
19.68,19.07
20.53,19.9
18.09,17.53
16.08,15.58
19.9,19.28
15.67,15.18
20.36,19.73
20.25,19.63
18.27,17.7
15.21,14.74
17.3,16.76
14.29,13.85
17.41,16.87
16.66,16.15
18.0,17.44
22.22,21.53
12.42,12.03
18.57,18.0
13.65,13.23
15.54,15.06
16.52,16.01
22.63,21.93
21.32,20.66
17.42,16.88
16.58,16.07
14.61,14.15
20.05,19.42
18.47,17.9
17.92,17.37
17.46,16.92
18.32,17.76
17.21,16.68
17.7,17.15
17.79,17.24
22.13,21.44
19.21,18.61
17.77,17.22
21.66,20.99
19.31,18.72
17.0,16.48
13.85,13.42
16.79,16.27
22.04,21.36
15.99,15.49
17.19,16.66
14.54,14.09
17.86,17.31
20.04,19.42
15.58,15.09
14.39,13.94
17.71,17.16
13.27,12.85
23.15,22.43
15.43,14.96
14.02,13.59
20.34,19.71
20.65,20.01
20.53,19.89
16.39,15.88
20.54,19.9
19.34,18.74
17.61,17.06
20.01,19.39
19.9,19.29
18.48,17.91
20.67,20.03
13.86,13.43
16.48,15.97
18.71,18.13
18.79,18.21
15.85,15.36
16.79,16.27
14.53,14.08
19.62,19.01
19.47,18.87
16.88,16.36
13.36,12.94
19.31,18.71
20.23,19.6
17.15,16.62
21.81,21.13
19.07,18.48
16.84,16.32
15.84,15.35
19.23,18.63
16.8,16.28
18.46,17.89
19.65,19.05
18.31,17.74
17.92,17.36
17.77,17.22
16.98,16.45
21.05,20.4
17.26,16.73
15.47,15.0
16.69,16.17
22.86,22.16
15.68,15.19
15.03,14.56
21.13,20.48
17.32,16.78
17.1,16.57
22.74,22.04
21.51,20.85
18.77,18.19
15.77,15.28
17.5,16.95
20.16,19.53
22.05,21.36
19.17,18.57
15.76,15.27
19.15,18.56
20.87,20.23
20.96,20.31
18.55,17.98
15.62,15.14
24.53,23.77
20.74,20.09
21.25,20.59
15.93,15.44
21.39,20.73
18.43,17.86
17.52,16.98
16.65,16.14
23.39,22.67
16.96,16.43
17.97,17.42
22.15,21.47
17.13,16.6
15.49,15.01
18.87,18.29
15.22,14.75
15.48,15.0
13.72,13.29
16.01,15.51
15.37,14.9
16.21,15.7
13.53,13.11
20.29,19.66
15.46,14.98
14.14,13.7
21.05,20.4
17.79,17.24
15.64,15.15
17.15,16.62
16.65,16.13
18.92,18.33
20.63,19.99
20.42,19.79
14.85,14.39
17.32,16.79
16.75,16.23
21.62,20.95
16.85,16.33
19.23,18.63
17.1,16.57
16.45,15.94
20.43,19.79
17.67,17.12
20.46,19.83
14.67,14.21
19.29,18.69
16.95,16.43
18.55,17.97
15.59,15.11
20.38,19.75
17.27,16.74
22.16,21.47
18.19,17.62
18.19,17.63
17.03,16.51
13.93,13.5
13.04,12.64
20.18,19.56
19.6,18.99
15.21,14.74
16.14,15.64
14.77,14.31
16.83,16.3
18.04,17.48
17.48,16.93
16.16,15.66
15.82,15.33
20.56,19.92
15.48,15.01
16.98,16.45
19.21,18.61
16.55,16.04
18.7,18.12
21.24,20.59
22.05,21.37
16.62,16.11
17.31,16.78
19.18,18.58
19.49,18.89
21.29,20.64
19.8,19.19
22.32,21.63
21.13,20.47
15.81,15.33
14.16,13.72
21.0,20.35
20.07,19.45
16.97,16.44
17.14,16.61
17.13,16.6
13.95,13.52
16.29,15.78
17.29,16.75
21.65,20.98
16.04,15.54
17.78,17.23
15.03,14.56
13.49,13.08
14.74,14.28
21.66,20.99
15.97,15.47
16.44,15.93
20.78,20.14
21.41,20.74
20.43,19.8
16.71,16.19
14.92,14.46
18.54,17.97
19.96,19.34
14.4,13.95
18.3,17.73
22.7,22.0
20.73,20.09
12.97,12.57
15.16,14.69
15.25,14.78
19.77,19.16
16.68,16.17
14.63,14.17
17.37,16.83
18.11,17.55
19.77,19.16
19.23,18.64
15.94,15.45
16.4,15.89
16.13,15.63
15.21,14.73
17.21,16.68
18.64,18.06
17.15,16.62
17.5,16.95
16.77,16.25
18.09,17.53
18.25,17.68
22.5,21.8
24.06,23.31
21.34,20.68
16.53,16.02
18.87,18.28
14.26,13.82
13.26,12.85
19.33,18.73
17.91,17.35
14.99,14.53
16.0,15.51
16.42,15.91
15.4,14.92
13.96,13.53
17.77,17.22
23.66,22.92
20.64,20.0
17.89,17.34
17.1,16.57
13.51,13.1
14.03,13.6
14.58,14.13
18.25,17.68
15.89,15.39
19.17,18.58
16.32,15.81
16.94,16.42
15.79,15.3
16.77,16.25
15.72,15.23
16.61,16.1
15.82,15.33
19.46,18.85
14.22,13.78
19.52,18.92
18.99,18.4
19.13,18.54
14.33,13.89
15.86,15.37
18.62,18.05
20.07,19.45
18.3,17.74
22.39,21.7
16.87,16.35
16.34,15.83
15.95,15.46
23.16,22.44
21.95,21.27
18.78,18.2
20.16,19.54
18.69,18.11
22.39,21.7
15.32,14.84
24.95,24.18
16.29,15.78
19.6,19.0
19.66,19.05
17.01,16.48
18.32,17.75
14.07,13.64
21.66,20.99
15.45,14.97
15.84,15.35
16.13,15.63
17.64,17.1
18.2,17.64
19.71,19.1
19.69,19.08
21.93,21.25
19.15,18.56
17.52,16.98
17.47,16.93
21.66,20.99
16.77,16.25
15.56,15.08
13.73,13.31
17.77,17.22
21.16,20.5
18.43,17.86
12.05,11.68
17.22,16.69
16.59,16.08
22.0,21.32
15.12,14.65
21.67,21.0
14.72,14.26
16.66,16.15
17.26,16.73
19.11,18.52
16.86,16.33
19.91,19.29
21.42,20.76
20.02,19.4
25.28,24.49
19.35,18.75
17.49,16.94
17.29,16.75
18.6,18.03
17.61,17.06
17.44,16.9
15.2,14.73
17.91,17.36
12.86,12.47
19.88,19.26
15.07,14.6
20.83,20.19
15.44,14.96
18.69,18.11
12.96,12.56
13.61,13.19
20.54,19.9
19.1,18.51
20.62,19.98
20.32,19.69
17.57,17.02
16.22,15.72
19.44,18.84
23.13,22.41
18.43,17.86
17.69,17.15
18.32,17.75
17.12,16.59
18.21,17.65
20.83,20.19
17.53,16.98
15.13,14.66
16.44,15.94
20.41,19.78
21.61,20.94
18.84,18.25
18.88,18.29
22.41,21.72
20.74,20.1
22.24,21.55
15.65,15.17
13.89,13.46
17.86,17.31
22.51,21.81
22.76,22.05
16.42,15.92
15.28,14.8
15.39,14.92
21.07,20.42
14.14,13.7
19.46,18.86
13.61,13.18
17.12,16.59
17.15,16.62
21.35,20.69
21.21,20.55
22.81,22.1
15.42,14.95
20.95,20.3
16.39,15.88
20.21,19.58
14.82,14.36
15.96,15.47
21.72,21.05
20.2,19.57
16.34,15.83
15.95,15.45
14.2,13.76
17.79,17.24
18.27,17.7
20.52,19.89
15.64,15.16
20.89,20.24
17.96,17.41
21.08,20.43
18.71,18.14
20.29,19.66
15.67,15.19
14.54,14.09
18.72,18.14
20.61,19.98
22.45,21.75
22.11,21.43
16.78,16.26
17.92,17.36
15.5,15.02
20.55,19.91
20.64,20.0
24.53,23.77
14.08,13.65
19.83,19.22
21.64,20.97
17.21,16.68
19.95,19.34
21.65,20.98
19.04,18.45
15.72,15.23
17.4,16.86
13.63,13.21
18.03,17.47
19.3,18.7
15.53,15.05
19.15,18.55
18.98,18.39
21.04,20.38
15.5,15.02
14.5,14.06
16.48,15.97
21.98,21.3
22.25,21.56
20.54,19.91
15.87,15.38
14.02,13.58
19.03,18.44
17.25,16.72
16.01,15.52
18.1,17.54
18.59,18.02
14.98,14.52
17.75,17.21
19.11,18.52
17.62,17.08
13.39,12.97
16.29,15.78
24.66,23.9
18.26,17.69
14.55,14.1
18.08,17.52
20.82,20.18
19.4,18.8
12.55,12.16
15.56,15.08
16.26,15.76
