avg_anonym,avg_real
99.61,97.11
73.93,72.08
95.76,93.35
98.92,96.43
83.22,81.13
72.32,70.5
70.35,68.58
83.86,81.75
89.84,87.58
98.27,95.8
74.29,72.43
72.35,70.54
69.16,67.42
81.58,79.53
87.5,85.3
99.87,97.36
95.37,92.97
78.08,76.11
82.63,80.55
84.12,82.01
112.72,109.88
92.94,90.6
72.22,70.4
87.0,84.81
76.38,74.46
76.29,74.38
80.4,78.38
74.79,72.91
69.23,67.49
84.67,82.54
76.92,74.99
82.84,80.75
75.55,73.65
91.78,89.48
71.19,69.4
97.41,94.96
93.32,90.97
69.84,68.08
69.32,67.57
70.03,68.27
72.77,70.94
69.94,68.18
91.25,88.96
66.8,65.12
104.77,102.14
83.05,80.96
68.83,67.1
100.99,98.46
80.7,78.67
81.01,78.97
