avg_anonym,avg_real
42.86,47.15
35.31,34.58
48.53,50.44
49.98,53.34
48.24,53.3
39.65,36.27
43.77,47.16
53.07,48.69
43.19,39.3
35.34,36.36
57.87,55.06
46.89,45.35
37.92,35.98
42.82,40.86
49.86,53.22
56.38,53.34
38.38,41.09
57.56,53.15
56.03,52.46
49.22,47.6
42.99,41.1
51.35,47.42
59.45,54.69
34.66,37.55
41.61,40.4
43.87,47.58
42.47,40.49
41.63,38.29
60.27,56.54
35.23,37.97
37.99,39.32
48.19,45.34
52.58,54.2
45.32,49.53
45.96,47.04
59.25,54.21
46.11,44.51
46.39,44.48
42.77,46.04
45.08,47.5
48.71,46.3
53.95,52.84
46.78,49.25
35.0,37.67
36.39,38.11
49.74,46.97
38.94,41.17
53.23,51.43
58.4,56.37
52.12,50.9
