avg_anonym,avg_real
82.75,80.67
89.83,87.57
70.18,68.41
63.65,62.05
59.25,57.76
62.4,60.83
67.48,65.79
62.28,60.71
79.95,77.94
61.91,60.35
77.71,75.76
74.54,72.67
57.51,56.07
71.39,69.6
62.56,60.99
72.3,70.48
65.94,64.28
65.18,63.54
57.96,56.5
66.55,64.88
67.9,66.19
59.22,57.73
62.83,61.25
72.64,70.81
55.49,54.1
78.18,76.21
65.63,63.98
55.6,54.2
76.31,74.39
74.45,72.58
54.07,52.72
61.16,59.62
59.73,58.23
74.26,72.4
73.8,71.95
75.28,73.39
80.64,78.61
57.2,55.77
59.24,57.75
79.83,77.82
69.57,67.82
76.18,74.27
83.3,81.21
64.25,62.63
73.59,71.74
79.72,77.71
63.85,62.24
53.22,51.88
76.63,74.7
73.17,71.33
