avg_anonym,avg_real
63.56,69.92
84.16,82.43
63.35,65.85
85.42,91.16
66.45,73.42
77.92,71.29
61.91,66.72
84.92,77.9
103.85,94.49
84.86,87.3
108.06,102.82
105.21,101.75
80.0,75.9
101.1,96.47
81.86,87.36
92.21,87.24
81.65,87.42
99.15,91.55
87.57,81.99
98.44,95.2
86.85,83.03
109.87,101.45
100.88,92.8
70.56,76.44
80.22,77.89
98.57,106.91
89.5,85.32
107.5,98.9
110.38,103.55
89.33,96.26
83.55,86.49
105.09,98.86
96.47,99.46
77.12,84.28
98.27,100.58
100.08,91.57
100.71,97.21
82.69,79.28
70.0,75.35
86.86,91.53
91.73,87.2
107.44,105.23
98.76,103.96
85.22,91.73
67.0,70.15
109.81,103.69
73.81,78.03
83.71,80.88
101.83,98.29
72.61,70.91
