max_anonym,max_real
98.37,117.26
71.64,85.39
96.3,114.79
99.13,118.17
86.25,102.81
77.12,91.93
73.02,87.05
86.46,103.06
90.5,107.88
101.25,120.69
75.19,89.63
72.54,86.47
70.57,84.12
80.46,95.9
86.1,102.64
101.12,120.53
98.08,116.91
74.92,89.31
78.59,93.68
84.49,100.71
141.26,168.39
94.82,113.03
74.28,88.54
87.02,103.72
75.68,90.22
76.3,90.95
81.91,97.64
71.92,85.73
69.74,83.14
87.12,103.85
78.32,93.36
84.73,101.0
74.43,88.72
92.72,110.52
70.19,83.67
99.55,118.67
91.54,109.12
70.03,83.48
69.98,83.42
67.23,80.13
73.34,87.42
68.28,81.39
88.77,105.82
65.88,78.53
127.96,152.53
82.93,98.86
69.55,82.91
101.53,121.03
81.76,97.46
78.91,94.06
