max_anonym,max_real
75.7,83.27
63.71,62.4
85.63,89.01
76.61,81.76
82.36,91.01
72.18,66.04
77.9,83.94
89.87,82.45
71.12,64.72
60.51,62.25
96.29,91.61
74.95,72.49
64.86,61.54
72.17,68.87
81.88,87.38
93.26,88.23
65.2,69.81
96.94,89.51
90.1,84.37
85.12,82.33
73.02,69.81
87.73,81.01
98.72,90.82
57.87,62.7
65.74,63.83
75.63,82.03
72.08,68.72
71.01,65.32
97.0,90.99
60.86,65.59
65.06,67.35
84.05,79.07
88.48,91.22
77.18,84.35
74.98,76.75
100.57,92.02
74.45,71.87
72.1,69.13
68.22,73.43
73.49,77.44
83.5,79.37
93.74,91.81
75.38,79.35
61.32,66.0
61.42,64.32
84.35,79.65
66.24,70.02
89.79,86.76
96.0,92.66
88.95,86.86
