max_anonym,max_real
132.26,128.94
129.37,126.12
110.62,107.84
92.14,89.82
90.49,88.22
106.42,103.74
110.74,107.96
101.43,98.88
125.86,122.7
107.72,105.01
121.48,118.42
126.48,123.3
92.31,89.99
111.01,108.22
97.48,95.03
118.9,115.91
101.04,98.5
102.09,99.53
97.73,95.27
107.8,105.09
125.5,122.34
94.53,92.16
105.26,102.62
120.98,117.94
89.11,86.87
119.77,116.76
107.67,104.97
89.16,86.92
120.05,117.03
110.22,107.45
92.41,90.08
97.76,95.3
93.44,91.09
117.58,114.62
116.33,113.4
114.06,111.19
130.83,127.54
90.9,88.61
86.78,84.6
114.39,111.52
112.32,109.5
118.3,115.33
131.63,128.32
96.38,93.95
126.32,123.15
128.56,125.33
96.94,94.51
91.66,89.35
121.57,118.52
113.02,110.18
