max_anonym,max_real
100.76,110.84
112.72,110.41
100.36,104.32
125.96,134.43
103.17,114.0
121.64,111.29
96.23,103.69
132.06,121.16
153.06,139.28
130.63,134.39
160.23,152.46
151.86,146.87
128.23,121.66
154.97,147.88
122.02,130.22
132.17,125.04
119.13,127.55
149.67,138.2
127.53,119.41
135.93,131.46
142.28,136.02
171.01,157.9
161.46,148.54
102.8,111.38
119.66,116.18
141.96,153.97
131.04,124.92
165.36,152.13
151.44,142.06
136.65,147.25
131.79,136.43
154.49,145.34
150.4,155.05
119.87,131.01
137.31,140.54
157.26,143.88
149.57,144.37
119.86,114.92
99.09,106.66
123.9,130.56
132.38,125.83
156.56,153.34
145.41,153.07
121.03,130.28
108.84,113.97
160.63,151.68
105.74,111.77
122.86,118.71
160.22,154.66
110.44,107.85
