med_anonym,med_real
101.9,99.34
74.35,72.48
95.99,93.58
99.34,96.84
82.58,80.52
69.62,67.87
71.0,69.22
85.04,82.9
91.26,88.96
99.6,97.09
75.7,73.8
73.17,71.33
69.08,67.35
80.89,78.85
88.35,86.14
100.06,97.54
96.38,93.96
78.89,76.9
83.7,81.6
85.08,82.94
112.55,109.72
93.52,91.17
73.62,71.77
89.64,87.38
77.86,75.9
77.68,75.73
81.51,79.46
74.63,72.76
68.46,66.74
83.68,81.58
77.85,75.9
82.99,80.91
75.95,74.04
91.45,89.15
71.79,69.99
93.45,91.1
94.63,92.25
70.41,68.64
69.59,67.84
70.89,69.11
72.6,70.77
70.4,68.63
91.61,89.3
67.52,65.82
106.8,104.12
84.91,82.78
71.34,69.54
101.19,98.65
81.44,79.4
81.47,79.42
