med_anonym,med_real
35.11,38.62
29.1,28.5
39.66,41.22
42.84,45.72
40.48,44.73
33.12,30.3
36.16,38.96
43.35,39.77
36.46,33.17
30.07,30.94
48.11,45.77
38.48,37.21
31.72,30.1
35.02,33.42
41.24,44.02
45.98,43.5
31.71,33.95
46.08,42.55
47.39,44.37
40.5,39.17
34.97,33.44
42.74,39.46
49.36,45.41
29.14,31.57
34.87,33.85
36.58,39.68
34.88,33.25
36.64,33.7
49.14,46.1
29.18,31.44
31.99,33.12
39.88,37.52
43.73,45.08
37.26,40.72
38.41,39.32
51.31,46.95
37.57,36.27
41.43,39.73
37.25,40.1
38.09,40.14
39.2,37.26
44.31,43.4
38.71,40.74
28.63,30.81
29.58,30.97
39.96,37.73
33.12,35.01
43.97,42.48
48.51,46.82
42.58,41.58
