med_anonym,med_real
71.1,78.22
89.4,87.57
63.7,66.22
57.24,61.09
52.89,58.44
63.07,57.7
60.4,65.09
63.24,58.03
86.68,78.87
57.68,59.34
80.12,76.23
72.06,69.69
57.28,54.34
71.1,67.85
56.37,60.16
70.97,67.15
59.78,64.0
65.6,60.58
58.12,54.42
65.74,63.58
64.83,61.98
61.47,56.76
63.08,58.04
62.42,67.62
54.12,52.54
69.66,75.55
64.0,61.02
57.1,52.54
74.88,70.24
66.54,71.7
48.22,49.91
61.4,57.76
55.72,57.44
65.97,72.1
66.67,68.24
80.79,73.91
77.91,75.2
58.38,55.98
54.01,58.13
75.0,79.03
67.47,64.14
75.84,74.28
76.29,80.31
56.28,60.58
65.58,68.67
80.06,75.6
59.43,62.83
51.03,49.3
75.04,72.43
72.2,70.5
