med_anonym,med_real
68.63,66.91
84.12,82.02
64.29,62.68
89.17,86.93
73.58,71.72
69.54,67.8
65.76,64.11
76.54,74.61
94.82,92.44
89.02,86.78
104.36,101.74
100.04,97.52
73.41,71.57
94.5,92.13
86.6,84.42
88.06,85.84
88.35,86.13
90.02,87.75
80.53,78.5
96.85,94.42
81.18,79.14
102.44,99.86
87.28,85.09
77.68,75.73
77.87,75.92
108.01,105.3
85.39,83.24
94.5,92.13
104.47,101.84
95.74,93.34
85.38,83.23
101.55,99.0
97.98,95.52
82.7,80.62
100.78,98.24
90.34,88.07
96.48,94.05
79.86,77.86
76.68,74.76
93.98,91.62
89.45,87.2
105.5,102.85
100.9,98.36
92.0,89.69
70.18,68.42
103.2,100.61
82.1,80.04
82.8,80.72
95.19,92.79
70.42,68.65
