min_anonym,min_real
60.14,71.69
46.71,55.68
59.64,71.09
59.55,70.99
46.26,55.15
37.95,45.23
40.06,47.76
47.19,56.26
54.86,65.39
56.57,67.44
43.15,51.44
42.45,50.6
39.7,47.32
49.69,59.23
55.27,65.89
58.46,69.69
56.56,67.42
49.09,58.52
51.84,61.79
50.44,60.12
66.88,79.72
53.66,63.97
41.81,49.84
53.04,63.22
47.53,56.66
46.77,55.75
49.56,59.08
46.73,55.7
42.42,50.57
50.18,59.81
42.96,51.21
46.22,55.09
47.91,57.11
56.53,67.39
42.47,50.63
53.43,63.69
57.67,68.74
43.25,51.56
41.4,49.35
41.26,49.18
43.75,52.15
45.0,53.64
56.25,67.06
41.64,49.64
65.1,77.6
50.58,60.29
40.09,47.78
59.38,70.78
46.85,55.84
50.4,60.08
