min_anonym,min_real
27.17,32.39
16.08,19.17
27.85,33.2
28.79,34.31
30.44,36.29
18.89,22.52
28.06,33.44
28.65,34.15
21.26,25.34
21.17,25.24
31.87,37.99
25.7,30.63
20.79,24.78
22.55,26.88
31.12,37.09
31.1,37.07
21.62,25.78
30.01,35.77
29.34,34.98
25.02,29.82
22.29,26.58
29.36,35.0
32.08,38.23
20.1,23.96
21.19,25.26
26.51,31.59
22.96,27.37
20.86,24.87
33.78,40.27
21.49,25.62
22.73,27.1
27.55,32.84
31.15,37.13
27.2,32.42
26.49,31.58
30.11,35.89
22.71,27.07
25.62,30.54
25.54,30.44
28.46,33.92
26.32,31.37
29.38,35.02
29.71,35.42
20.48,24.42
21.17,25.24
26.07,31.08
22.47,26.78
30.8,36.71
33.97,40.49
29.75,35.47
