min_anonym,min_real
40.49,48.27
49.18,58.63
35.62,42.46
29.21,34.82
28.51,33.99
29.78,35.5
33.8,40.28
30.87,36.8
38.76,46.2
29.35,34.99
38.51,45.9
35.53,42.35
28.73,34.24
36.13,43.07
28.06,33.45
35.91,42.8
30.31,36.13
30.82,36.74
29.99,35.75
32.94,39.27
30.0,35.76
28.9,34.45
31.5,37.55
36.99,44.09
24.95,29.74
38.27,45.62
28.58,34.07
25.16,29.99
37.34,44.51
36.94,44.03
25.13,29.95
31.41,37.44
29.63,35.32
34.62,41.27
35.19,41.95
31.21,37.21
36.58,43.61
27.64,32.94
25.45,30.34
42.11,50.19
36.17,43.12
38.3,45.65
40.76,48.58
30.24,36.05
21.96,26.18
38.51,45.9
29.52,35.18
26.12,31.13
36.75,43.81
36.75,43.81
