min_anonym,min_real
37.93,41.73
52.99,51.9
38.97,40.51
55.17,58.88
41.46,45.81
52.03,47.6
36.75,39.6
52.99,48.62
65.01,59.16
50.72,52.18
68.06,64.76
69.47,67.18
46.65,44.26
63.14,60.25
52.36,55.88
61.69,58.37
49.85,53.38
60.91,56.24
51.88,48.58
60.67,58.67
52.94,50.61
67.06,61.92
62.6,57.59
40.33,43.7
48.28,46.87
62.95,68.28
55.72,53.11
71.34,65.63
69.51,65.2
54.53,58.76
55.57,57.53
66.92,62.95
58.91,60.73
48.89,53.43
62.27,63.73
65.67,60.08
58.92,56.88
52.72,50.55
43.27,46.58
58.56,61.71
59.23,56.3
64.25,62.93
62.46,65.75
54.69,58.87
39.26,41.11
70.34,66.42
43.99,46.51
52.78,50.99
64.95,62.69
44.66,43.62
