std_anonym,std_real
10.68,12.73
5.41,6.45
8.77,10.45
10.15,12.09
10.86,12.94
10.57,12.6
8.63,10.29
10.11,12.05
8.69,10.36
11.88,14.17
8.44,10.06
7.37,8.79
7.8,9.3
6.87,8.19
6.81,8.11
11.32,13.49
9.87,11.76
6.43,7.66
6.44,7.68
7.29,8.69
16.26,19.38
11.04,13.16
7.79,9.29
8.75,10.43
6.58,7.84
8.16,9.73
8.08,9.63
5.94,7.08
6.46,7.7
8.45,10.07
9.29,11.08
10.58,12.61
6.14,7.32
9.56,11.39
6.15,7.33
13.47,16.06
7.44,8.87
5.5,6.55
5.97,7.12
5.67,6.76
7.02,8.37
5.47,6.52
6.82,8.12
5.1,6.08
12.7,15.14
8.62,10.27
7.42,8.84
11.69,13.94
8.52,10.15
6.68,7.96
