std_anonym,std_real
13.89,15.28
12.34,12.08
16.45,17.11
13.86,14.79
14.63,16.16
12.85,11.75
13.92,15.0
16.11,14.78
12.83,11.67
10.4,10.7
16.76,15.95
13.56,13.12
11.9,11.29
12.98,12.39
14.55,15.53
17.64,16.69
11.76,12.59
18.34,16.94
15.34,14.36
15.36,14.86
14.08,13.46
15.23,14.06
17.71,16.3
10.33,11.19
12.1,11.75
13.37,14.5
13.13,12.52
11.87,10.92
17.2,16.13
10.63,11.46
11.47,11.87
14.82,13.95
14.96,15.42
14.16,15.47
13.03,13.34
17.61,16.11
14.54,14.03
10.65,10.21
10.56,11.36
12.12,12.77
15.62,14.85
17.77,17.4
13.05,13.74
11.22,12.08
11.71,12.26
16.15,15.25
11.65,12.32
16.25,15.7
16.71,16.13
16.28,15.89
