std_anonym,std_real
13.14,15.66
9.94,11.84
11.52,13.73
9.65,11.51
10.09,12.03
12.04,14.35
12.03,14.33
10.97,13.08
13.44,16.02
12.38,14.76
12.78,15.23
14.91,17.78
10.05,11.99
12.27,14.62
9.3,11.09
13.15,15.68
10.49,12.5
11.24,13.4
10.91,13.0
11.35,13.53
15.17,18.08
10.3,12.27
11.69,13.93
13.98,16.67
9.68,11.53
11.97,14.26
12.68,15.11
9.79,11.66
12.41,14.79
10.17,12.12
11.39,13.58
10.4,12.39
8.29,9.88
12.49,14.89
12.13,14.46
12.72,15.16
15.27,18.21
9.39,11.19
9.38,11.18
9.52,11.35
12.38,14.76
11.65,13.88
13.25,15.79
9.87,11.77
14.01,16.7
14.22,16.94
11.01,13.12
11.46,13.66
13.19,15.72
12.27,14.63
