std_anonym,std_real
14.46,14.09
11.61,11.32
15.43,15.04
18.5,18.04
15.23,14.85
16.24,15.83
15.47,15.08
18.37,17.91
18.18,17.73
20.25,19.74
20.24,19.73
18.95,18.47
18.04,17.59
20.95,20.42
17.68,17.24
16.4,15.98
15.7,15.3
18.65,18.18
15.41,15.02
16.71,16.29
19.61,19.11
23.44,22.85
23.07,22.49
13.97,13.62
16.03,15.62
20.48,19.96
16.19,15.78
20.29,19.78
16.36,15.95
19.71,19.21
20.19,19.69
19.75,19.25
21.38,20.84
19.57,19.08
18.06,17.61
20.88,20.35
21.41,20.88
13.7,13.36
13.83,13.48
14.39,14.03
16.08,15.68
22.03,21.48
20.24,19.73
16.6,16.18
16.37,15.96
20.27,19.76
15.13,14.75
16.09,15.69
22.83,22.25
14.87,14.5
