max_anonym,max_real
126.408,117.262
88.7249,85.3945
111.118,114.791
108.714,118.167
112.986,102.808
89.7233,91.9296
90.9637,87.0466
110.999,103.063
116.94,107.878
132.758,120.689
86.3097,89.6259
88.4542,86.4655
79.1524,84.1152
100.316,95.9042
94.6304,102.636
125.714,120.531
125.094,116.91
87.251,89.305
101.923,93.6789
94.9714,100.712
175.459,168.387
104.662,113.026
91.9092,88.5445
97.708,103.724
88.2315,90.2163
82.9473,90.951
89.2409,97.6378
80.8481,85.735
78.8963,83.1362
114.231,103.846
100.642,93.3596
94.4397,101.005
83.9258,88.7165
119.474,110.522
81.16,83.6701
108.584,118.671
105.849,109.123
91.4938,83.4797
88.0068,83.4188
75.4859,80.1336
90.3938,87.4215
78.8684,81.3915
102.642,105.817
83.4809,78.5333
147.497,152.531
106.568,98.8574
87.3034,82.9092
111.101,121.025
102.623,97.458
96.5079,94.0623
