max_anonym,max_real
85.2729,83.2743
60.3441,62.4034
85.54,89.0114
89.5308,81.7633
94.0102,91.007
70.3947,66.0363
88.8978,83.945
86.4918,82.4517
63.2941,64.7179
56.6459,62.2482
95.9194,91.6136
69.9505,72.4876
64.5563,61.5408
72.7907,68.8654
94.72,87.3801
96.527,88.2331
68.413,69.8092
84.9478,89.513
86.3922,84.3674
79.7737,82.3258
62.8984,69.8096
79.3051,81.0062
86.4569,90.8161
65.0152,62.6955
68.869,63.8267
84.9032,82.0321
62.1205,68.7174
68.3281,65.3232
94.0843,90.9906
60.3384,65.5852
69.9066,67.3474
84.682,79.0682
88.39,91.2177
77.936,84.3463
70.6079,76.7477
89.7153,92.0157
74.3806,71.8653
71.6859,69.1282
71.154,73.4303
73.9529,77.4376
76.1177,79.3719
96.403,91.8124
76.491,79.3475
61.3179,66.0042
65.6014,64.3151
83.3929,79.6494
65.6101,70.0215
90.3125,86.7555
88.7712,92.663
82.952,86.8607
