max_anonym,max_real
144.472,128.939
141.309,126.116
120.828,107.837
100.644,89.8228
98.8447,88.2173
116.242,103.744
120.967,107.961
110.793,98.8809
137.478,122.697
117.664,105.013
132.69,118.424
138.158,123.304
100.828,89.9874
121.258,108.221
106.482,95.0335
129.873,115.91
110.364,98.4983
111.518,99.5284
106.752,95.2743
117.75,105.09
137.084,122.345
103.261,92.1587
114.98,102.618
132.142,117.935
97.3382,86.8728
130.825,116.759
117.61,104.965
97.3945,86.923
131.13,117.031
120.397,107.452
100.937,90.0849
106.781,95.3006
102.067,91.093
128.433,114.624
127.066,113.404
124.586,111.191
142.905,127.54
99.29,88.6147
94.7893,84.5979
124.953,111.519
122.69,109.499
129.218,115.325
143.78,128.321
105.272,93.9533
137.982,123.147
140.424,125.326
105.893,94.5082
100.116,89.352
132.795,118.517
123.453,110.18
