max_anonym,max_real
113.503,110.843
106.762,110.405
100.252,104.321
147.2,134.429
117.758,113.996
118.638,111.293
109.813,103.695
127.096,121.159
136.212,139.276
122.295,134.39
159.622,152.457
141.727,146.867
127.626,121.664
156.305,147.876
141.164,130.225
136.794,125.04
125.001,127.552
131.149,138.197
122.272,119.406
127.389,131.464
122.558,136.024
154.584,157.9
141.407,148.537
115.5,111.379
125.354,116.176
159.354,153.965
112.928,124.92
159.124,152.126
146.89,142.06
135.473,147.253
141.614,136.43
155.654,145.335
150.243,155.05
121.052,131.009
129.298,140.541
140.281,143.878
149.426,144.373
119.174,114.922
103.355,106.662
124.684,130.559
120.676,125.835
161.007,153.34
147.556,153.066
121.031,130.281
116.25,113.971
158.813,151.684
104.731,111.773
123.576,118.709
148.16,154.656
102.999,107.852
