med_anonym,med_real
101.729,99.3446
70.09325,72.4853
89.9258,93.5752
106.043,96.8428
83.17005,80.5131
72.35374999999999,67.87405000000001
73.3015,69.2177
86.95855,82.8966
87.0034,88.96055
88.3545,97.0929
77.2694,73.8008
68.8338,71.3304
70.6482,67.3481
83.3494,78.8547
93.3724,86.1369
106.71600000000001,97.5464
92.08245,93.96170000000001
72.98165,76.90375
83.5557,81.5974
80.3703,82.9415
98.8595,109.722
89.2508,91.1653
68.3269,71.77195
90.6157,87.3825
81.9004,75.904
78.3803,75.7298
71.83405,79.46245
76.1063,72.7594
69.0112,66.74195
75.05175,81.578
78.77680000000001,75.89285000000001
86.6511,80.9067
71.7431,74.0383
82.3726,89.1478
64.3886,69.9876
88.827,91.1046
95.4828,92.2539
71.1797,68.64
65.7358,67.8388
66.002,69.112
67.8706,70.7723
72.06800000000001,68.6362
86.0889,89.3038
61.1495,65.8229
106.198,104.116
86.6694,82.7788
65.1613,69.5425
102.693,98.6481
76.0629,79.3976
75.8502,79.4243
