min_anonym,min_real
80.3209,71.6851
62.3885,55.6807
79.6514,71.0876
79.5376,70.986
61.7901,55.1467
50.6826,45.2334
53.509,47.7559
63.0336,56.2565
73.2673,65.3899
75.5618,67.4377
57.6315,51.4352
56.7005,50.6043
53.0217,47.321
66.3669,59.2314
73.8247,65.8874
78.0831,69.6879
75.5416,67.4197
65.5673,58.5178
69.2347,61.7909
67.3627,60.1201
89.3223,79.7187
71.6721,63.9662
55.8482,49.8436
70.84,63.2236
63.4863,56.6605
62.4626,55.7469
66.1986,59.0812
62.412,55.7017
56.6584,50.5667
67.0155,59.8103
57.3805,51.2112
61.7274,55.0907
63.9877,57.108
75.5067,67.3885
56.7253,50.6264
71.3654,63.6925
77.0185,68.7378
57.7671,51.5562
55.299,49.3535
55.1042,49.1796
58.4369,52.154
60.1007,53.6389
75.1338,67.0557
55.6169,49.6372
86.9437,77.5959
67.5517,60.2888
53.5396,47.7832
79.3046,70.7781
62.5703,55.843
67.3194,60.0815
