min_anonym,min_real
33.1643,32.387
18.5393,19.172
31.9083,33.2032
37.5736,34.3138
37.4846,36.2871
24.0033,22.5172
35.4153,33.4422
35.8248,34.1514
24.7808,25.3382
22.9652,25.2365
39.7788,37.9931
29.5614,30.6336
25.9912,24.7771
28.4124,26.8802
40.2101,37.0942
40.5547,37.0701
25.2606,25.7761
33.9485,35.7729
35.8156,34.9762
28.8999,29.8245
23.9445,26.5755
34.264,34.999
36.3996,38.2349
24.848,23.9614
27.2596,25.2638
32.7003,31.5945
24.7459,27.3738
26.0143,24.8703
41.6408,40.2716
23.5719,25.6216
28.1255,27.0959
35.1672,32.8359
35.9798,37.1309
29.9601,32.4243
29.0537,31.5801
34.9904,35.8876
28.0149,27.0675
31.6728,30.5427
29.4965,30.4401
32.3952,33.9217
30.0824,31.3685
36.7681,35.0172
34.1446,35.4197
22.6821,24.4156
25.7421,25.2374
32.5412,31.0804
25.0929,26.78
38.2189,36.7136
38.7884,40.4889
33.871,35.467
