min_anonym,min_real
49.4245,48.2661
56.6933,58.628
40.8037,42.4596
38.1268,34.819
35.1111,33.9894
37.8381,35.4954
42.6614,40.2846
38.6023,36.7991
45.1845,46.2009
31.8423,34.9915
48.0583,45.901
40.8669,42.3491
35.9209,34.243
45.5215,43.0667
36.255,33.4456
46.8285,42.8048
35.4042,36.1267
34.8671,36.7409
36.6057,35.7478
38.053,39.2704
32.2182,35.7583
33.7248,34.4482
35.7485,37.5509
45.7255,44.094
32.0889,29.7395
47.2143,45.6177
30.7975,34.068
31.3724,29.9927
46.024,44.5106
40.5101,44.0327
31.0933,29.955
40.1035,37.4449
34.229,35.324
38.1314,41.2677
38.5906,41.9463
36.2775,37.2077
45.134,43.6077
34.1637,32.9447
29.3998,30.3404
47.9318,50.1904
41.3507,43.1186
47.9365,45.6538
46.8327,48.5816
33.488,36.0474
26.7014,26.1778
48.058,45.9007
32.9668,35.1834
32.4066,31.1303
41.9719,43.812
41.8381,43.8095
