min_anonym,min_real
44.9829,41.7281
53.9222,51.8982
39.2113,40.5075
54.1656,58.8756
50.345,45.8098
46.4581,47.6005
41.38,39.5981
52.3586,48.6152
64.1258,59.1566
57.3993,52.1812
62.3618,64.7578
68.7271,67.1819
41.6445,44.2556
63.0196,60.2482
51.5234,55.8822
60.8773,58.3675
57.113,53.3766
54.9478,56.2413
52.8499,48.5753
55.3278,58.6721
52.7355,50.6099
57.3384,61.9205
59.776,57.5877
41.1629,43.6973
45.8398,46.871
62.2683,68.2766
48.5468,53.1147
61.8905,65.6315
61.8787,65.2041
64.6406,58.7642
62.0167,57.5294
58.8627,62.9548
57.4552,60.7349
57.7628,53.4346
61.8217,63.7337
54.9718,60.0785
55.1688,56.8751
55.3989,50.5464
49.1415,46.5796
58.1289,61.708
58.2126,56.2985
60.979,62.9298
63.7777,65.7502
62.5769,58.8682
39.749,41.1055
71.6012,66.4204
48.9703,46.5055
46.8093,50.9905
66.012,62.6895
44.7521,43.618
